"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-06-21,18,"La Pastora",0.57,NA,NA,NA,26,14,NA,NA,NA,NA,3.7,NA,NA,NA,NA
2014-06-21,19,"La Pastora",0.63,NA,NA,NA,18,29,NA,NA,NA,NA,4.4,NA,NA,NA,NA
2014-06-21,20,"La Pastora",0.73,NA,NA,NA,9,38,NA,NA,NA,NA,4.1,NA,NA,NA,NA
2014-06-21,21,"La Pastora",0.78,NA,NA,NA,9,16,NA,NA,NA,NA,3,NA,NA,NA,NA
2014-06-21,22,"La Pastora",0.58,NA,NA,NA,21,18,NA,NA,NA,NA,3.2,NA,NA,NA,NA
2014-06-21,23,"La Pastora",0.54,NA,NA,NA,21,38,NA,NA,NA,NA,3.1,NA,NA,NA,NA
2014-06-21,18,"Obispado",0.88,16.4,7.3,23.8,22,45,19,945.2221053,0,64,NA,0.029,29.37,7,131
2014-06-21,19,"Obispado",0.89,8.7,8.7,17.5,18,42,33,945.4888158,0,70,NA,0.003,27.86,5.2,138
2014-06-21,20,"Obispado",0.97,21.4,7.9,29.3,19,36,7,945.8888816,0,70,NA,0.002,27.55,6.9,141
2014-06-21,21,"Obispado",0.9,5.8,8.4,14.2,19,45,16,946.6890132,0,69,NA,0.001,27.27,2.9,59
2014-06-21,22,"Obispado",1.07,12.6,12.8,25.4,15,37,9,947.2224342,0,69,NA,0.002,27.36,4.2,100
2014-06-21,23,"Obispado",0.95,28.1,6.7,34.8,20,50,12,947.2224342,0,72,NA,0.002,26.8,6.6,104
2014-06-21,18,"San Bernabe",0.83,2.5,4.7,7,19,54,NA,946.8223684,0,56,1.4,0.025,30.11,10.2,136
2014-06-21,19,"San Bernabe",0.81,2.8,5,7.7,14,55,NA,947.2224342,0,58,1.6,0.002,29.38,10.9,134
2014-06-21,20,"San Bernabe",0.85,3,5.6,8.5,9,61,NA,947.7558553,0,61,1.2,0,28.77,8.1,144
2014-06-21,21,"San Bernabe",0.75,2.2,4.1,6.2,13,45,NA,948.5559868,0,61,1.1,0,28.27,7.7,135
2014-06-21,22,"San Bernabe",0.62,2.2,2.5,4.7,14,62,NA,948.9560526,0,67,1.2,0,27.54,16.5,91
2014-06-21,23,"San Bernabe",0.57,1.8,1.5,3.3,17,62,NA,949.0894079,0,70,1,0,26.83,15.7,103
2014-06-21,18,"San Nicolas",1.29,NA,NA,NA,20,62,31,954.9570395,0,55,NA,0.025,30.76,7.5,130
2014-06-21,19,"San Nicolas",1.31,NA,NA,NA,12,68,27,955.3571053,0,59,NA,0.004,29.94,5.3,142
2014-06-21,20,"San Nicolas",1.46,NA,NA,NA,8,85,63,955.7571711,0,62,NA,0.002,29.33,4.6,142
2014-06-21,21,"San Nicolas",1.37,NA,NA,NA,11,81,36,956.8240132,0,64,NA,0.003,28.49,6.8,81
2014-06-21,22,"San Nicolas",1.22,NA,NA,NA,12,87,30,957.4907895,0,70,NA,0,27.72,10.4,106
2014-06-21,23,"San Nicolas",1.14,NA,NA,NA,15,79,NA,957.3574342,0,72,NA,0,27.11,12.2,111
2014-06-21,18,"Santa Catarina",0.82,4.6,5,9.4,26,57,NA,931.6198684,0,58,3,0.023,28.13,13.3,NA
2014-06-21,19,"Santa Catarina",0.77,5,4.1,8.9,23,56,25,932.0199342,0,61,3.1,0.003,27.08,9.9,NA
2014-06-21,20,"Santa Catarina",0.93,5.7,5.4,10.9,19,47,NA,932.6867105,0,63,3,0,26.5,4.2,NA
2014-06-21,21,"Santa Catarina",0.93,5.8,6.4,12,16,56,14,933.3534868,0,62,3,0,26.47,3.1,NA
2014-06-21,22,"Santa Catarina",1.23,11.5,9.3,20.7,NA,57,NA,933.8869079,0,70,2.9,0,25.39,3.2,NA
2014-06-21,23,"Santa Catarina",0.94,7.8,7.1,14.8,7,72,NA,933.7535526,0,69,2.8,0,25.34,4.6,NA
