"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-08-03,0,"La Pastora",0.72,NA,NA,NA,14,42,17,959.4911184,0,86,NA,0,25.09,3.6,260
2014-08-03,1,"La Pastora",0.72,NA,NA,NA,11,54,18,959.0910526,0,87,NA,0,24.75,2.4,178
2014-08-03,2,"La Pastora",0.7,NA,NA,NA,15,45,4,958.8243421,0,84,NA,0,24.7,3,62
2014-08-03,3,"La Pastora",0.71,NA,NA,NA,15,34,14,958.5576316,0,85,NA,0,24.48,3.1,62
2014-08-03,4,"La Pastora",0.59,NA,NA,NA,23,34,11,958.8243421,0,86,NA,0,24.47,6.2,59
2014-08-03,5,"La Pastora",0.6,NA,NA,NA,19,30,19,958.9576974,0,88,NA,0,24.14,3.7,76
2014-08-03,0,"Obispado",0.75,2.9,15.1,18,8,38,NA,950.6896711,0.34,88,NA,0.002,23.89,2.8,121
2014-08-03,1,"Obispado",0.65,2.6,8.8,11.4,13,65,36,950.2896053,0.09,96,NA,0.002,22.72,1.6,192
2014-08-03,2,"Obispado",0.81,2.7,13,15.7,6,40,28,950.0228947,0.01,96,NA,0.002,23.04,1.1,188
2014-08-03,3,"Obispado",0.67,2.6,9.4,12,7,55,13,949.7561842,0,94,NA,0.002,23.22,1.2,35
2014-08-03,4,"Obispado",0.61,2.6,8.2,10.8,8,33,1,950.0228947,0,90,NA,0.002,23.33,1.4,47
2014-08-03,5,"Obispado",0.53,2.6,6.6,9.2,11,45,1,950.15625,0,89,NA,0.002,23.62,2.3,87
2014-08-03,0,"San Bernabe",0.91,1.8,9,10.8,16,15,NA,952.69,0,80,0.9,0,24.43,1.4,71
2014-08-03,1,"San Bernabe",0.87,2,10.2,12.2,13,31,NA,952.4232895,0,81,1,0,24.65,1.8,182
2014-08-03,2,"San Bernabe",0.82,2.3,10.9,13.2,11,37,NA,952.0232237,0,80,1.1,0,24.75,1.6,249
2014-08-03,3,"San Bernabe",0.6,1.9,8.7,10.6,17,27,NA,951.7565132,0,79,1.2,0,24.74,3.3,174
2014-08-03,4,"San Bernabe",0.47,1.8,7,8.8,21,25,NA,951.8898684,0,79,1.3,0,24.76,3.9,128
2014-08-03,5,"San Bernabe",1.07,1.8,7.2,9,19,40,NA,952.2899342,0,82,1.1,0,24.43,5.1,156
2014-08-03,0,"San Nicolas",0.63,3.3,9.9,13.2,22,36,16,961.0913816,0,77,NA,NA,25.43,3.2,9
2014-08-03,1,"San Nicolas",0.57,3.7,9.3,13,22,39,9,960.6913158,0,76,NA,NA,25.53,5,24
2014-08-03,2,"San Nicolas",0.56,3.5,12.2,15.7,17,29,14,960.4246053,0,78,NA,NA,25.09,4.7,17
2014-08-03,3,"San Nicolas",0.48,3.1,6,9.1,21,41,NA,960.1578947,0,82,NA,NA,24.46,5.4,27
2014-08-03,4,"San Nicolas",0.52,3.1,12.3,15.4,18,36,23,960.29125,0,84,NA,NA,24.52,3.7,69
2014-08-03,5,"San Nicolas",0.58,5.1,7.6,12.7,17,50,4,960.5579605,0,84,NA,NA,24.47,3.2,119
2014-08-03,0,"Santa Catarina",0.44,4.9,7.1,12,22,48,10,937.3541447,0,83,2.6,0,23.08,8,133
2014-08-03,1,"Santa Catarina",0.48,4.7,9,13.7,20,44,18,936.9540789,0,85,2.5,0,22.76,5.6,124
2014-08-03,2,"Santa Catarina",0.53,4.8,11.3,16.1,15,46,9,936.6873684,0,86,2.4,0,22.7,5,130
2014-08-03,3,"Santa Catarina",0.56,4.5,10.2,14.7,17,57,6,936.4206579,0,83,2.5,0,22.96,6.3,125
2014-08-03,4,"Santa Catarina",0.57,4.6,9.3,13.9,17,55,11,936.5540132,0,84,2.5,0,22.8,8.5,123
2014-08-03,5,"Santa Catarina",0.53,5.2,10.8,16,14,57,2,936.9540789,0,85,2.5,0,22.61,8.2,124
