"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-12-15,12,"La Pastora",1.79,NA,NA,NA,31,75,16,NA,0,65,3.3,0.694,25.81,3.7,150
2014-12-15,13,"La Pastora",1.63,NA,NA,NA,39,66,13,NA,0,63,3.4,0.67,26.05,5.9,83
2014-12-15,14,"La Pastora",1.63,NA,NA,NA,42,54,5,NA,0,61,3.4,0.581,26.68,5.6,89
2014-12-15,15,"La Pastora",1.67,NA,NA,NA,43,46,18,NA,0,63,3.4,0.43,26.8,6.4,93
2014-12-15,16,"La Pastora",1.7,NA,NA,NA,40,58,32,NA,0,68,NA,0.209,25.37,6.6,94
2014-12-15,17,"La Pastora",1.67,NA,NA,NA,36,79,38,NA,0,78,3.7,0.035,22.99,10.4,92
2014-12-15,12,"Obispado",2.42,14.1,30.6,44.7,23,213,54,948.2892763,0,60,NA,0.625,24.96,5.5,61
2014-12-15,13,"Obispado",1.94,5.8,15.7,21.5,32,136,9,947.4891447,0,59,NA,0.61,25.22,7.5,57
2014-12-15,14,"Obispado",1.84,4.9,13,17.9,33,81,2,947.2224342,0,59,NA,0.519,25.65,7.3,51
2014-12-15,15,"Obispado",1.82,4.3,12.8,17.1,32,75,7,947.2224342,0,60,NA,0.305,25.79,7.2,23
2014-12-15,16,"Obispado",2.01,3.5,17.2,20.7,32,69,27,947.4891447,0,66,NA,0.09,24.71,8.4,72
2014-12-15,17,"Obispado",2.07,2.9,20.6,23.5,27,78,29,948.0225658,0,74,NA,0.026,23.01,10.2,73
2014-12-15,12,"San Bernabe",1.63,6.1,11,17.1,34,168,50,949.8895395,0,51,6,0.283,25.36,4.8,172
2014-12-15,13,"San Bernabe",1.32,3.4,5.8,9.2,49,143,33,948.9560526,0,49,5.4,0.565,26.66,5.7,196
2014-12-15,14,"San Bernabe",0.91,2.9,2.8,5.7,42,94,14,948.5559868,0,53,4.3,0.513,25.45,11.5,73
2014-12-15,15,"San Bernabe",0.7,2.9,2.5,5.4,41,68,1,948.6893421,0,55,4.6,0.389,25.35,10.5,61
2014-12-15,16,"San Bernabe",0.62,2.5,2.2,4.7,39,63,2,949.2227632,0,59,5,0.143,24.79,8.5,75
2014-12-15,17,"San Bernabe",0.74,2.5,4.9,7.4,35,56,22,949.7561842,0,68,8.2,0.019,23.56,9.9,102
2014-12-15,12,"San Nicolas",2.25,5.4,11.4,16.8,36,68,18,958.9576974,0,62,3,0.563,24.74,6.8,359
2014-12-15,13,"San Nicolas",2.22,4.9,9.6,14.5,37,64,17,958.0242105,0,60,3.2,0.538,25.65,6.7,8
2014-12-15,14,"San Nicolas",2.19,4.7,8.6,13.3,40,50,2,957.7575,0,58,3.6,0.459,26.12,6.4,19
2014-12-15,15,"San Nicolas",2.26,5.1,10.5,15.6,39,52,28,957.7575,0,61,3.1,0.289,26.22,6.3,47
2014-12-15,16,"San Nicolas",2.38,7.1,15.7,22.8,39,66,37,958.2909211,0,66,3.1,0.093,25.13,8.1,101
2014-12-15,17,"San Nicolas",2.56,10.2,22.1,32.3,32,104,20,958.9576974,0,71,4.9,0.021,23.44,11.1,117
2014-12-15,12,"Santa Catarina",NA,NA,NA,NA,NA,135,NA,934.6870395,0,50,NA,0.56,24.28,9,104
2014-12-15,13,"Santa Catarina",NA,NA,NA,NA,NA,174,NA,933.8869079,0,53,NA,0.547,24,13.4,106
2014-12-15,14,"Santa Catarina",NA,NA,NA,NA,NA,153,NA,933.4868421,0,55,NA,0.469,24.08,15.4,109
2014-12-15,15,"Santa Catarina",NA,NA,NA,NA,NA,111,NA,933.4868421,0,57,NA,0.332,24.17,12.1,90
2014-12-15,16,"Santa Catarina",NA,NA,NA,NA,NA,106,NA,933.8869079,0,60,NA,0.146,23.53,11.8,115
2014-12-15,17,"Santa Catarina",NA,NA,NA,NA,NA,101,NA,934.4203289,0,67,NA,0.018,22.05,14.6,124
