"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-12-08,12,"La Pastora",1.65,NA,NA,NA,9,12,NA,NA,0.02,97,3.1,0.132,14.79,1.2,87
2014-12-08,13,"La Pastora",1.63,NA,NA,NA,8,26,3,NA,0.01,97,3,0.097,15.03,1.2,114
2014-12-08,14,"La Pastora",1.65,NA,NA,NA,8,18,3,NA,0.01,97,3,0.087,14.89,2.2,102
2014-12-08,15,"La Pastora",1.63,NA,NA,NA,8,23,5,NA,0.01,97,3.1,0.061,14.74,3.8,81
2014-12-08,16,"La Pastora",1.65,NA,NA,NA,8,23,2,NA,0,97,3.4,0.034,14.57,5.6,67
2014-12-08,17,"La Pastora",1.6,NA,NA,NA,7,24,0,NA,0.01,97,3.1,0.006,14.28,3.7,79
2014-12-08,12,"Obispado",2.38,25,16.8,41.8,3,37,15,957.4907895,0,99,NA,0.093,14.38,2.2,108
2014-12-08,13,"Obispado",2.33,20.4,16,36.4,5,50,15,956.9573684,0.01,98,NA,0.101,14.65,3.6,47
2014-12-08,14,"Obispado",1.94,13.3,13.2,26.5,6,34,NA,956.5573026,0.01,97,NA,0.118,14.77,4.4,25
2014-12-08,15,"Obispado",2.09,15.1,14.5,29.6,4,32,6,956.4239474,0.03,97,NA,0.055,14.64,4.2,32
2014-12-08,16,"Obispado",2.12,15.3,15.8,31.1,3,38,2,956.4239474,0.03,98,NA,0.018,14.37,5.1,41
2014-12-08,17,"Obispado",1.99,14,15.1,29.1,2,29,9,956.5573026,0.01,99,NA,0.005,13.97,6.4,8
2014-12-08,12,"San Bernabe",1.33,7.3,5.5,12.8,8,31,11,960.0245395,0,92,3.4,0.151,15.27,1.8,137
2014-12-08,13,"San Bernabe",1.34,6.6,5.6,12.2,8,29,12,959.4911184,0,91,3.5,0.109,15.34,2.5,193
2014-12-08,14,"San Bernabe",1.22,5,4.4,9.4,10,25,6,959.0910526,0,89,3.2,0.092,15.37,4,191
2014-12-08,15,"San Bernabe",1.14,5.6,4.8,10.4,8,21,1,958.9576974,0,91,3.6,0.066,15.36,1.9,217
2014-12-08,16,"San Bernabe",1.08,4.2,3.9,8.1,8,25,NA,958.8243421,0,90,3.2,0.024,15.1,3.7,167
2014-12-08,17,"San Bernabe",0.88,3.2,3.3,6.5,11,22,NA,958.9576974,0,86,3,0.007,14.92,4,164
2014-12-08,12,"San Nicolas",2.23,11.3,15.2,26.5,12,23,NA,969.4927632,0,96,2,0.147,14.88,5.3,350
2014-12-08,13,"San Nicolas",2.29,13.7,17.5,31.2,9,31,12,968.9593421,0,96,2,0.088,14.96,5.5,354
2014-12-08,14,"San Nicolas",2.33,13.3,17.4,30.7,10,23,10,968.5592763,0.01,96,NA,0.091,14.73,6.1,4
2014-12-08,15,"San Nicolas",2.23,10.4,17.5,27.9,10,24,4,968.4259211,0.02,96,2.2,0.056,14.76,6,14
2014-12-08,16,"San Nicolas",2.31,10.1,18.7,28.8,9,28,NA,968.4259211,0.01,96,2.8,0.03,14.53,6.3,18
2014-12-08,17,"San Nicolas",2.43,17,19.8,36.8,6,32,6,968.6926316,0.01,96,2.9,0.007,14.28,5.9,3
2014-12-08,12,"Santa Catarina",NA,NA,NA,NA,NA,53,NA,944.5553289,0,88,NA,0.07,13.99,4.7,63
2014-12-08,13,"Santa Catarina",NA,NA,NA,NA,NA,46,NA,944.0219079,0,89,NA,0.051,13.82,4.7,80
2014-12-08,14,"Santa Catarina",NA,NA,NA,NA,NA,49,NA,943.4884868,0.01,90,NA,0.051,13.72,6.3,105
2014-12-08,15,"Santa Catarina",NA,NA,NA,NA,NA,40,NA,943.3551316,0,91,NA,0.093,13.95,10.8,120
2014-12-08,16,"Santa Catarina",NA,NA,NA,NA,NA,29,NA,943.2217763,0,91,NA,0.037,13.65,12.5,126
2014-12-08,17,"Santa Catarina",NA,NA,NA,NA,NA,25,NA,943.3551316,0,92,NA,0.01,13.28,14.1,134
