"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-07-25,18,"La Pastora",0.62,NA,NA,NA,31,17,NA,955.3571053,0,40,4.4,0.076,33.46,5.7,135
2014-07-25,19,"La Pastora",0.6,NA,NA,NA,29,32,NA,955.6238158,0,41,4.6,0.013,32.89,9.4,156
2014-07-25,20,"La Pastora",0.56,NA,NA,NA,29,25,NA,956.0238816,0,41,4.5,0,32.35,8.4,155
2014-07-25,21,"La Pastora",0.59,NA,NA,NA,26,22,NA,956.5573026,0,42,3.8,0,31.52,6.5,109
2014-07-25,22,"La Pastora",0.6,NA,NA,NA,25,35,NA,957.0907237,0,46,3.7,0,30.19,8.6,102
2014-07-25,23,"La Pastora",0.56,NA,NA,NA,28,44,NA,957.6241447,0,50,3.9,0,29,12.1,96
2014-07-25,18,"Obispado",0.87,5.9,28.5,34.4,20,62,19,946.6890132,0,53,NA,0.071,30.42,5.6,210
2014-07-25,19,"Obispado",0.72,3.7,21,24.7,22,51,25,946.9557237,0,52,NA,0.014,30.26,7.2,172
2014-07-25,20,"Obispado",0.44,3,6.8,9.8,21,61,NA,947.2224342,0,44,NA,0.001,31.28,10.1,140
2014-07-25,21,"Obispado",0.39,2.9,4.9,7.8,23,55,12,947.7558553,0,46,NA,0.001,30.48,10.1,131
2014-07-25,22,"Obispado",0.35,2.8,3.4,6.2,25,52,3,948.2892763,0,47,NA,0.001,29.75,10.6,129
2014-07-25,23,"Obispado",0.37,2.6,4.2,6.8,24,45,8,948.6893421,0,48,NA,0.002,29.28,8.1,110
2014-07-25,18,"San Bernabe",0.93,6.6,15.2,21.8,23,64,NA,948.2892763,0,41,3.2,0.06,32.41,6,117
2014-07-25,19,"San Bernabe",1.07,6.5,15.4,21.9,18,69,NA,948.5559868,0,41,2.8,0.01,32.14,9,133
2014-07-25,20,"San Bernabe",0.57,6,8.2,14.2,17,54,NA,948.9560526,0,39,1.9,0,31.81,15.5,141
2014-07-25,21,"San Bernabe",0.57,5.7,7.9,13.6,17,62,NA,949.4894737,0,40,1.7,0,31.02,16.1,134
2014-07-25,22,"San Bernabe",0.46,5.2,7.3,12.5,18,48,NA,950.2896053,0,41,1.8,0,30.15,12.9,121
2014-07-25,23,"San Bernabe",0.47,5.2,5.7,10.9,21,55,NA,950.8230263,0,45,1.6,0,29.09,15.7,106
2014-07-25,18,"San Nicolas",0.97,NA,NA,NA,23,86,15,956.2905921,0,34,NA,0.052,34.34,10,119
2014-07-25,19,"San Nicolas",0.92,NA,NA,NA,17,67,15,956.5573026,0,37,NA,0.008,33.44,11.8,134
2014-07-25,20,"San Nicolas",0.95,NA,NA,NA,15,87,10,957.0907237,0,39,NA,0,32.29,11.2,133
2014-07-25,21,"San Nicolas",0.9,NA,NA,NA,17,79,27,957.7575,0,41,NA,0,31.24,11.7,125
2014-07-25,22,"San Nicolas",0.76,NA,NA,NA,22,79,8,958.4242763,0,45,NA,0,30.1,14.1,120
2014-07-25,23,"San Nicolas",0.76,NA,NA,NA,20,79,31,959.0910526,0,49,NA,0,29.09,13.3,111
2014-07-25,18,"Santa Catarina",1.19,10,35,45,19,72,20,933.7535526,0,56,3,0.06,27.71,4.2,211
2014-07-25,19,"Santa Catarina",0.67,5.3,13.4,18.7,37,112,19,933.7535526,0,55,2.8,0.008,27.44,10.7,155
2014-07-25,20,"Santa Catarina",0.55,4.9,9.5,14.4,36,56,21,934.1536184,0,58,2.7,0,26.8,12.8,131
2014-07-25,21,"Santa Catarina",0.55,5.4,10.1,15.5,30,46,NA,934.5536842,0,58,2.7,0,26.61,11.1,131
2014-07-25,22,"Santa Catarina",0.52,5,7.3,12.3,30,52,NA,935.0871053,0,60,2.6,0,25.95,12,108
2014-07-25,23,"Santa Catarina",0.48,5,7.7,12.7,25,50,14,935.4871711,0,60,2.5,0,25.7,7.9,123
