"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-09-16,18,"La Pastora",0.77,NA,NA,NA,28,20,NA,957.3574342,0,79,NA,0.04,26.7,7.3,82
2014-09-16,19,"La Pastora",0.79,NA,NA,NA,24,18,11,957.4907895,0,79,NA,0,26.29,7.1,105
2014-09-16,20,"La Pastora",0.76,NA,NA,NA,25,28,4,958.1575658,0,80,NA,0,26.29,7.1,114
2014-09-16,21,"La Pastora",0.7,NA,NA,NA,27,25,16,958.6909868,0,83,NA,0,25.8,6.8,123
2014-09-16,22,"La Pastora",0.73,NA,NA,NA,20,28,NA,958.8243421,0,89,NA,0,24.71,4.6,252
2014-09-16,23,"La Pastora",0.7,NA,NA,NA,22,21,NA,958.4242763,0,90,NA,0,23.95,5,235
2014-09-16,18,"Obispado",0.72,1.7,4.6,6.3,28,37,20,948.2892763,0,73,NA,0.035,27.07,6.1,93
2014-09-16,19,"Obispado",0.75,1.5,5.6,7.1,23,41,24,948.5559868,0,78,NA,0,26.22,6.4,115
2014-09-16,20,"Obispado",0.74,1.5,4.7,6.2,22,58,29,949.2227632,0.03,83,NA,0.001,25.3,5.6,124
2014-09-16,21,"Obispado",0.7,2.1,4.5,6.6,16,26,NA,949.6228289,0.03,95,NA,0.002,23.15,2.9,213
2014-09-16,22,"Obispado",0.68,1.5,2.7,4.2,20,NA,13,949.7561842,0,88,NA,0,24.14,5.7,102
2014-09-16,23,"Obispado",0.65,1.5,2,3.5,20,27,4,949.4894737,0,87,NA,0,24.01,3.5,82
2014-09-16,18,"San Bernabe",0.65,2.8,3.5,6.3,29,41,NA,950.2896053,0,68,2.2,0.04,26.95,11.2,108
2014-09-16,19,"San Bernabe",0.93,2.7,5,7.7,22,44,NA,950.4229605,0,72,1.6,0,26.36,11.3,107
2014-09-16,20,"San Bernabe",0.64,2.6,4.2,6.8,24,53,NA,951.0897368,0,72,2.3,0,26.17,12.3,109
2014-09-16,21,"San Bernabe",0.59,2.5,4,6.5,22,46,NA,951.6231579,0,77,3,0,25.79,11.8,103
2014-09-16,22,"San Bernabe",0.51,2.6,5,7.6,16,46,NA,951.7565132,0,81,1.7,0,25.27,10,125
2014-09-16,23,"San Bernabe",0.48,2.6,6.3,8.9,13,57,NA,951.4898026,0,81,1.6,0,24.79,5.7,140
2014-09-16,18,"San Nicolas",0.89,5.4,8.2,13.6,27,42,15,958.8243421,0,72,NA,0.029,27.27,8.7,118
2014-09-16,19,"San Nicolas",1.12,7.6,13.4,21,18,46,4,959.0910526,0,75,NA,0,26.66,7.2,122
2014-09-16,20,"San Nicolas",1.1,5.8,14.3,20.1,16,65,17,959.6244737,0,77,NA,0,26.46,6.7,110
2014-09-16,21,"San Nicolas",1.08,7,13.4,20.4,14,66,28,960.1578947,0,79,NA,0,26.04,7.8,120
2014-09-16,22,"San Nicolas",0.89,5.2,8.2,13.4,18,64,4,960.4246053,0,82,NA,0,25.55,7.6,122
2014-09-16,23,"San Nicolas",0.77,3.7,5.9,9.6,20,34,16,960.0245395,0,81,NA,0,25.25,8.1,112
2014-09-16,18,"Santa Catarina",0.57,8,10.3,18.3,22,35,NA,934.6870395,0,70,2.4,0.016,25.74,11.7,97
2014-09-16,19,"Santa Catarina",0.45,7.7,7,14.7,23,40,34,934.95375,0,74,2.3,0,24.87,12.7,102
2014-09-16,20,"Santa Catarina",0.44,7.2,4.3,11.5,24,36,3,935.7538816,0,78,2.2,0,24.27,13.2,98
2014-09-16,21,"Santa Catarina",0.41,7.2,5,12.2,21,31,1,936.1539474,0,86,2.2,0,22.92,8.6,112
2014-09-16,22,"Santa Catarina",0.38,7.3,6.2,13.5,17,23,NA,936.2873026,0,85,2.1,0,23.05,8.2,127
2014-09-16,23,"Santa Catarina",0.33,6.7,3.7,10.4,20,26,NA,935.8872368,0,84,2.1,0,22.89,8.6,122
