"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-08-19,12,"La Pastora",0.53,NA,NA,NA,77,86,46,955.0903947,0,62,NA,1.033,31.23,10,67
2014-08-19,13,"La Pastora",0.49,NA,NA,NA,77,79,27,952.9567105,0,54,NA,1.015,32.69,10.5,71
2014-08-19,14,"La Pastora",0.43,NA,NA,NA,62,90,21,950.9563816,0,49,NA,0.934,34.13,9.5,79
2014-08-19,15,"La Pastora",0.4,NA,NA,NA,52,82,29,949.7561842,0,45,NA,0.711,34.81,9.7,89
2014-08-19,16,"La Pastora",0.38,NA,NA,NA,49,75,35,949.7561842,0,42,NA,0.488,35.07,9.4,109
2014-08-19,17,"La Pastora",0.36,NA,NA,NA,47,57,16,950.5563158,0,41,NA,0.319,35.14,7.2,126
2014-08-19,12,"Obispado",0.52,2.6,11,13.6,71,92,18,946.2889474,0,56,NA,0.979,31.17,7.5,68
2014-08-19,13,"Obispado",0.49,2.1,9,11.1,78,84,24,945.4888158,0,50,NA,0.966,32.66,8.6,44
2014-08-19,14,"Obispado",0.44,1.8,6.7,8.5,78,86,32,944.2886184,0,47,NA,0.901,33.78,7.9,65
2014-08-19,15,"Obispado",0.44,1.8,5.7,7.5,66,81,20,943.3551316,0,46,NA,0.678,34.45,8.4,86
2014-08-19,16,"Obispado",0.37,1.8,4.3,6.1,55,74,17,942.9550658,0,44,NA,0.531,34.69,7.9,108
2014-08-19,17,"Obispado",0.35,2.2,4.4,6.6,48,58,NA,943.0884211,0,41,NA,0.23,34.67,6.2,132
2014-08-19,12,"San Bernabe",0.83,2.4,7.1,9.5,80,100,34,947.7558553,0,55,11.6,0.819,30.78,11.1,116
2014-08-19,13,"San Bernabe",0.47,2.2,6,8.2,71,81,21,946.9557237,0,48,7,0.825,32.06,11,115
2014-08-19,14,"San Bernabe",0.55,2.2,6,8.2,81,81,21,945.7555263,0,44,14.5,0.762,33.2,11.6,118
2014-08-19,15,"San Bernabe",0.44,2.1,5.3,7.4,70,74,32,944.6886842,0,39,7.9,0.597,34.09,10.9,101
2014-08-19,16,"San Bernabe",0.43,2.2,5.4,7.6,61,63,15,944.1552632,0,38,4.6,0.347,34.36,12.8,102
2014-08-19,17,"San Bernabe",0.44,2.1,5.6,7.7,55,45,25,944.2886184,0,37,3,0.19,34.27,9.6,101
2014-08-19,12,"San Nicolas",0.69,5.2,6.6,11.8,51,101,11,956.1572368,0,55,NA,0.862,31.44,7.5,101
2014-08-19,13,"San Nicolas",0.7,4,7.9,11.9,65,61,39,955.22375,0,48,NA,0.845,33.22,8.1,113
2014-08-19,14,"San Nicolas",0.63,4.8,7.5,12.3,61,80,35,953.8901974,0,44,NA,0.778,34.12,10.1,113
2014-08-19,15,"San Nicolas",0.74,3.8,6,9.8,55,60,16,952.8233553,0,40,NA,0.651,35.01,9.9,112
2014-08-19,16,"San Nicolas",0.68,4.6,7.2,11.8,50,53,26,952.2899342,0,39,NA,0.462,35.53,9.2,132
2014-08-19,17,"San Nicolas",0.69,5.2,8.1,13.3,46,58,28,952.2899342,0,38,NA,0.231,35.25,8,131
2014-08-19,12,"Santa Catarina",0.74,7.7,3.9,11.6,86,157,57,932.42,0,56,3.7,0.844,29.69,14,96
2014-08-19,13,"Santa Catarina",0.63,6.6,2.5,9.1,99,136,26,931.6198684,0,50,4.1,0.835,30.97,16.6,90
2014-08-19,14,"Santa Catarina",0.54,6,1,7,97,124,36,930.5530263,0,45,7,0.778,31.89,16,83
2014-08-19,15,"Santa Catarina",0.46,6.1,0.5,6.6,80,109,41,929.6195395,0,42,7.4,0.636,32.73,14,75
2014-08-19,16,"Santa Catarina",0.44,6,0.3,6.3,67,95,45,929.2194737,0,43,5.8,0.426,32.87,12.4,102
2014-08-19,17,"Santa Catarina",0.52,6.2,4.6,10.8,51,84,32,929.4861842,0,41,5.1,0.151,32.41,12.5,110
