"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-11-08,18,"La Pastora",1.29,NA,NA,NA,10,29,14,NA,0,76,4.4,0.001,19.77,3.7,89
2014-11-08,19,"La Pastora",1.44,NA,NA,NA,5,47,10,NA,0,81,4.9,0,18.44,3.7,152
2014-11-08,20,"La Pastora",1.21,NA,NA,NA,11,50,NA,NA,0,76,4.2,0,18.79,3.8,145
2014-11-08,21,"La Pastora",1.13,NA,NA,NA,14,38,7,NA,0,77,3.8,0,18.52,4.1,119
2014-11-08,22,"La Pastora",1.09,NA,NA,NA,16,29,1,NA,0,78,3.9,0,17.74,4.3,134
2014-11-08,23,"La Pastora",1.09,NA,NA,NA,15,21,5,NA,0,80,3.8,0,17.17,3.6,110
2014-11-08,18,"Obispado",1.57,6.5,18.5,25,6,41,10,952.4232895,0,72,NA,0.002,19.81,5,66
2014-11-08,19,"Obispado",1.57,9.7,20,29.7,4,43,4,953.3567763,0,72,NA,0.002,19.2,6.6,98
2014-11-08,20,"Obispado",1.61,9.7,20.4,30.1,3,47,17,954.2902632,0,74,NA,0.002,18.59,6,132
2014-11-08,21,"Obispado",1.64,11.9,19,30.9,2,43,15,954.8236842,0,76,NA,0.001,18.05,2.9,164
2014-11-08,22,"Obispado",1.75,20.7,17.6,38.3,2,43,10,955.22375,0,81,NA,0.001,16.92,2.7,190
2014-11-08,23,"Obispado",1.74,17.6,16.9,34.5,2,44,13,955.22375,0,83,NA,0.001,15.95,2,174
2014-11-08,18,"San Bernabe",0.68,3.7,4.5,8.2,21,NA,17,954.2902632,0,64,3,0.001,20.38,5.4,140
2014-11-08,19,"San Bernabe",1.58,11.7,8.2,19.9,7,NA,19,955.4904605,0,67,5.1,0,19.68,4.8,262
2014-11-08,20,"San Bernabe",1.32,9.6,8.5,18.1,5,NA,11,956.5573026,0,69,5.6,0,19.19,5.1,155
2014-11-08,21,"San Bernabe",1.41,9.7,8.9,18.6,4,NA,26,957.2240789,0,71,5.9,0,18.52,4.4,111
2014-11-08,22,"San Bernabe",2.03,19.1,8.3,27.4,4,NA,36,957.6241447,0,76,7,0,17.06,1.5,127
2014-11-08,23,"San Bernabe",3.29,38.6,7.8,46.4,4,NA,53,957.7575,0,81,10.4,0,16.23,1.1,178
2014-11-08,18,"San Nicolas",1.69,NA,NA,NA,13,54,10,963.3584211,0,69,2.8,0.001,20.22,6.4,340
2014-11-08,19,"San Nicolas",1.59,NA,NA,NA,14,49,1,964.4252632,0,71,2.4,0,19.15,5.8,332
2014-11-08,20,"San Nicolas",1.61,NA,NA,NA,15,52,28,965.4921053,0,72,2.3,0.001,18.69,5.4,321
2014-11-08,21,"San Nicolas",1.43,NA,NA,NA,16,52,NA,966.1588816,0,71,2.2,0.002,18.5,6.7,313
2014-11-08,22,"San Nicolas",1.48,NA,NA,NA,15,48,23,966.5589474,0,75,2.2,0.005,17.49,6.8,333
2014-11-08,23,"San Nicolas",1.82,NA,NA,NA,6,57,NA,966.5589474,0,77,2.3,0.024,17.03,4.2,302
2014-11-08,18,"Santa Catarina",0.79,11.4,21.7,33.1,8,40,1,939.0877632,0,65,2.9,0.001,19.1,7.3,112
2014-11-08,19,"Santa Catarina",0.88,20.7,24.3,45,5,50,NA,940.1546053,0,70,2.9,0,18.06,4.9,108
2014-11-08,20,"Santa Catarina",0.85,20.5,23.9,44.4,6,66,1,941.3548026,0,72,3.1,0,17.26,3.3,89
2014-11-08,21,"Santa Catarina",0.97,21.2,23.7,44.9,4,65,2,941.8882237,0,72,3.3,0.001,17.18,2.8,316
2014-11-08,22,"Santa Catarina",1.31,49.5,22,71.5,4,125,42,942.1549342,0,75,3.6,0.001,16.41,4.4,242
2014-11-08,23,"Santa Catarina",1.76,79.2,20.2,99.4,5,94,23,942.1549342,0,78,3.7,0,15.12,2.4,290
