"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-12-22,12,"La Pastora",2.29,NA,NA,NA,20,78,7,NA,0,37,3.4,0.705,27.45,4.8,203
2014-12-22,13,"La Pastora",2.15,NA,NA,NA,34,61,14,NA,0,32,3.3,0.721,29.28,5.1,129
2014-12-22,14,"La Pastora",1.75,NA,NA,NA,38,64,NA,NA,0,22,3.1,0.536,30.81,5.6,112
2014-12-22,15,"La Pastora",2.26,NA,NA,NA,29,45,27,NA,0,34,3.8,0.259,27.12,5.8,66
2014-12-22,16,"La Pastora",2.26,NA,NA,NA,21,133,25,NA,0,37,3.8,0.156,25.71,5.1,127
2014-12-22,17,"La Pastora",2.27,NA,NA,NA,6,104,25,NA,0,48,3.5,0.045,22.38,2.8,198
2014-12-22,12,"Obispado",2.06,13.1,23.7,36.8,19,80,1,941.4881579,0,18,NA,0.74,30.74,3.9,169
2014-12-22,13,"Obispado",1.98,5.8,19.3,25.1,31,58,13,940.2879605,0,18,NA,0.635,29.79,5,158
2014-12-22,14,"Obispado",1.97,5.5,19.1,24.6,34,55,NA,939.4878289,0,15,NA,0.423,29.82,6.4,29
2014-12-22,15,"Obispado",2.63,10.1,45.8,55.9,25,75,33,939.2211184,0,24,NA,0.223,27.99,6,122
2014-12-22,16,"Obispado",3.07,27,50.2,77.2,9,156,38,939.0877632,0,31,NA,0.073,26.53,3.6,150
2014-12-22,17,"Obispado",2.69,33.8,35.2,69,3,104,23,938.9544079,0,31,NA,0.02,23.93,4.9,184
2014-12-22,12,"San Bernabe",1.87,6.8,10.3,17.1,30,198,NA,942.2882895,0,20,4.4,0.321,27.03,7,112
2014-12-22,13,"San Bernabe",1.37,4.5,7.3,11.8,36,111,6,940.8213816,0,12,3.7,0.628,29.64,10.8,219
2014-12-22,14,"San Bernabe",0.92,3.3,4.7,8,37,84,7,940.1546053,0,10,3.4,0.507,29.69,12.5,279
2014-12-22,15,"San Bernabe",0.73,3.2,4.3,7.5,34,69,17,939.7545395,0,12,3.3,0.413,28.92,14.4,285
2014-12-22,16,"San Bernabe",0.71,5,8.7,13.7,26,58,15,939.4878289,0,15,4.3,0.256,28.81,6.7,225
2014-12-22,17,"San Bernabe",1.34,16.2,21.1,37.3,7,82,31,939.3544737,0,27,7.9,0.032,25.62,5.6,141
2014-12-22,12,"San Nicolas",3.03,26.3,54.1,80.4,32,147,3,951.2230921,0,25,4.6,0.643,28.13,3.7,114
2014-12-22,13,"San Nicolas",3.3,26.6,72.7,99.3,42,158,30,950.0228947,0,20,7.7,0.571,28.66,5.6,122
2014-12-22,14,"San Nicolas",2.69,12.1,41,53.1,45,166,36,949.0894079,0,18,4.7,0.427,29.37,5.1,65
2014-12-22,15,"San Nicolas",2.72,11.4,39.7,51.1,42,122,41,948.6893421,0,18,3.9,0.294,29.22,5.1,112
2014-12-22,16,"San Nicolas",3.03,17.4,59.1,76.5,26,111,20,948.4226316,0,26,3.7,0.079,27.62,5.2,127
2014-12-22,17,"San Nicolas",4.03,42.7,100.8,143.5,14,150,20,948.1559211,0,44,4.4,0.015,24.97,5.5,145
2014-12-22,12,"Santa Catarina",NA,NA,NA,NA,NA,185,NA,927.4858553,0,14,NA,0.597,26.79,5.7,136
2014-12-22,13,"Santa Catarina",NA,NA,NA,NA,NA,105,NA,926.1523026,0,12,NA,0.559,28.14,7.6,138
2014-12-22,14,"Santa Catarina",NA,NA,NA,NA,NA,107,NA,925.4855263,0,9,NA,0.399,27.85,13.7,314
2014-12-22,15,"Santa Catarina",NA,NA,NA,NA,NA,143,NA,925.0854605,0,12,NA,0.263,27.27,8.3,255
2014-12-22,16,"Santa Catarina",NA,NA,NA,NA,NA,74,NA,924.9521053,0,16,NA,0.116,25.52,6.3,215
2014-12-22,17,"Santa Catarina",NA,NA,NA,NA,NA,65,NA,924.81875,0,20,NA,0.02,23.07,4.5,204
