"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-09-01,18,"La Pastora",0.53,NA,NA,NA,26,28,6,954.0235526,0,39,NA,0.043,33.65,7,122
2014-09-01,19,"La Pastora",0.61,NA,NA,NA,19,23,6,952.69,0,41,NA,0.001,32.13,5.2,114
2014-09-01,20,"La Pastora",0.58,NA,NA,NA,21,22,4,953.3567763,0,49,NA,0,31.31,9.5,101
2014-09-01,21,"La Pastora",0.53,NA,NA,NA,24,32,21,954.1569079,0,62,NA,0,29.86,13.7,103
2014-09-01,22,"La Pastora",0.52,NA,NA,NA,24,45,13,954.8236842,0,71,NA,0,28.37,15.5,98
2014-09-01,23,"La Pastora",0.51,NA,NA,NA,21,44,15,955.22375,0,77,NA,0,27.28,11.8,82
2014-09-01,18,"Obispado",0.57,2.7,7.7,10.4,22,36,15,944.4219737,0,43,NA,0.028,32.95,9.6,131
2014-09-01,19,"Obispado",0.6,2.5,10.7,13.2,15,34,2,944.6886842,0,46,NA,0.003,31.8,8.1,126
2014-09-01,20,"Obispado",0.62,2.2,11.9,14.1,12,40,9,945.2221053,0,48,NA,0.001,30.95,5.8,118
2014-09-01,21,"Obispado",0.46,1.6,4.5,6.1,21,39,17,946.0222368,0,58,NA,0.001,29.97,9.1,123
2014-09-01,22,"Obispado",0.43,1.5,2.4,3.9,22,41,15,946.6890132,0,66,NA,0.001,28.84,10.6,87
2014-09-01,23,"Obispado",0.43,1.5,1.6,3.1,20,35,7,946.8223684,0,73,NA,0.001,27.47,10.9,81
2014-09-01,18,"San Bernabe",0.4,2.9,2.2,5.1,24,43,NA,945.6221711,0,34,1.3,0.078,33.51,17.4,117
2014-09-01,19,"San Bernabe",0.53,3,4.6,7.6,15,51,NA,946.0222368,0,37,1.7,0.001,32.73,15.3,115
2014-09-01,20,"San Bernabe",0.45,2.4,3.3,5.7,18,56,NA,946.5556579,0,44,1.6,0,31.7,20.9,104
2014-09-01,21,"San Bernabe",0.34,2.1,1.3,3.4,23,88,NA,947.3557895,0,58,1.3,0,29.84,26.1,105
2014-09-01,22,"San Bernabe",0.28,2.1,0.6,2.7,23,55,NA,948.2892763,0,65,1.2,0,28.43,22.9,107
2014-09-01,23,"San Bernabe",0.27,NA,NA,NA,22,38,NA,948.4226316,0,71,1,0,27.23,20.6,103
2014-09-01,18,"San Nicolas",0.48,6.8,9.8,16.6,22,41,23,953.8901974,0,37,NA,0.037,34.22,12.4,109
2014-09-01,19,"San Nicolas",0.61,8.1,14.7,22.8,14,52,36,954.1569079,0,40,NA,0,33.14,10.1,113
2014-09-01,20,"San Nicolas",0.5,6.5,12.9,19.4,16,54,12,954.9570395,0,47,NA,0,31.97,13.8,107
2014-09-01,21,"San Nicolas",0.41,4.5,6.3,10.8,23,90,19,955.8905263,0,60,NA,0,30.22,18.6,110
2014-09-01,22,"San Nicolas",0.36,3.8,4.6,8.4,21,78,20,956.6906579,0,69,NA,0,28.63,18.1,107
2014-09-01,23,"San Nicolas",0.33,3.4,4.3,7.7,19,53,4,956.9573684,0,73,NA,0,27.65,14.8,106
2014-09-01,18,"Santa Catarina",0.38,8.2,6.5,14.7,26,45,NA,930.6863816,0,42,3.1,0.06,31.24,13.9,103
2014-09-01,19,"Santa Catarina",0.42,9.4,9.2,18.6,19,45,6,930.9530921,0,40,2.9,0,30.33,12.2,102
2014-09-01,20,"Santa Catarina",0.41,10,10.8,20.8,16,47,1,931.4865132,0,43,2.7,0,29.42,12,100
2014-09-01,21,"Santa Catarina",0.31,7.4,5.4,12.8,21,45,18,932.0199342,0,53,2.5,0,28.46,18.1,88
2014-09-01,22,"Santa Catarina",0.2,6.7,5.1,11.8,19,56,34,932.8200658,0,63,2.4,0,27.29,17.7,80
2014-09-01,23,"Santa Catarina",0.2,6.4,3.1,9.5,19,43,15,932.9534211,0,68,2.4,0,26.34,14.1,87
