"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-07-04,6,"La Pastora",0.83,NA,NA,NA,5,19,NA,961.8915132,0,92,2.3,0.024,21.44,6.3,72
2014-07-04,7,"La Pastora",0.89,NA,NA,NA,9,12,NA,962.2915789,0,88,3.5,0.224,23.11,3.8,123
2014-07-04,8,"La Pastora",1.03,NA,NA,NA,12,5,NA,962.825,0,79,4.2,0.477,25.74,4.7,161
2014-07-04,9,"La Pastora",0.84,NA,NA,NA,23,34,NA,962.9583553,0,76,3.8,0.643,26.2,5.2,111
2014-07-04,10,"La Pastora",0.76,NA,NA,NA,36,30,NA,962.825,0,67,4.2,0.895,28.09,7.9,106
2014-07-04,11,"La Pastora",0.65,NA,NA,NA,32,52,NA,962.6916447,0,61,3.8,1.052,29.15,12.5,94
2014-07-04,6,"Obispado",0.57,NA,NA,NA,NA,33,NA,953.2234211,0,85,NA,0.041,22.26,3.5,40
2014-07-04,7,"Obispado",0.65,NA,NA,NA,NA,38,NA,953.3567763,0,84,NA,0.234,23.58,5.2,11
2014-07-04,8,"Obispado",0.71,NA,NA,NA,NA,63,NA,953.4901316,0,78,NA,0.426,25.25,4.9,17
2014-07-04,9,"Obispado",0.72,NA,NA,NA,NA,62,32,953.6234868,0,76,NA,0.41,25.11,6.2,3
2014-07-04,10,"Obispado",0.62,NA,NA,NA,NA,67,3,953.3567763,0,68,NA,0.818,27.18,6.4,44
2014-07-04,11,"Obispado",0.47,NA,NA,NA,NA,73,5,953.0900658,0,60,NA,0.967,28.79,13.9,75
2014-07-04,6,"San Bernabe",0.91,NA,NA,NA,11,34,NA,955.6238158,0,82,1.1,0.018,21.95,7.6,141
2014-07-04,7,"San Bernabe",1.11,NA,NA,NA,11,33,NA,955.8905263,0,79,1.5,0.215,23.88,4,231
2014-07-04,8,"San Bernabe",0.77,NA,NA,NA,18,31,NA,955.8905263,0,74,1.7,0.259,24.87,5.2,230
2014-07-04,9,"San Bernabe",0.7,NA,NA,NA,28,39,NA,955.8905263,0,67,1.6,0.26,26.79,4.6,232
2014-07-04,10,"San Bernabe",0.63,NA,NA,NA,40,49,NA,955.6238158,0,59,2,0.724,27.39,10.3,112
2014-07-04,11,"San Bernabe",0.52,NA,NA,NA,49,61,NA,955.4904605,0,55,9.3,0.826,28.05,22.7,101
2014-07-04,6,"San Nicolas",0.7,NA,NA,NA,6,33,17,964.1585526,0,89,NA,0.064,21.95,4.4,68
2014-07-04,7,"San Nicolas",0.56,NA,NA,NA,12,50,NA,964.2919079,0,87,NA,0.113,22.85,2.3,97
2014-07-04,8,"San Nicolas",0.65,NA,NA,NA,19,40,5,964.4252632,0,79,NA,0.179,25.09,4.8,41
2014-07-04,9,"San Nicolas",0.52,NA,NA,NA,27,43,29,964.2919079,0,71,NA,0.188,26.43,4.7,51
2014-07-04,10,"San Nicolas",0.53,NA,NA,NA,38,47,5,964.1585526,0,63,NA,0.699,27.49,9.1,103
2014-07-04,11,"San Nicolas",0.51,NA,NA,NA,47,56,7,964.0251974,0,56,NA,0.837,29.02,15.5,113
2014-07-04,6,"Santa Catarina",0.84,16.4,10.9,27.3,11,46,6,940.02125,0,82,2.9,0.046,20.78,7.7,152
2014-07-04,7,"Santa Catarina",0.8,18.4,1.6,20,14,54,13,940.2879605,0,76,3.2,0.16,22.37,5.9,117
2014-07-04,8,"Santa Catarina",0.89,NA,NA,NA,23,65,8,940.2879605,0,67,3.6,0.406,25.99,3.7,66
2014-07-04,9,"Santa Catarina",1.04,14.2,0.3,14.5,32,94,31,940.2879605,0,65,4,0.587,25.67,9,94
2014-07-04,10,"Santa Catarina",0.98,9.8,2.1,11.9,46,96,40,940.02125,0,64,3.7,0.631,25.55,13.1,103
2014-07-04,11,"Santa Catarina",0.65,6.6,0.1,6.7,48,90,8,939.6211842,0,55,4.2,0.799,27.09,22.4,77
