"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-06-06,0,"La Pastora",0.43,NA,NA,NA,15,11,NA,954.2902632,0,84,2.6,0,25.04,13.8,83
2014-06-06,1,"La Pastora",0.42,NA,NA,NA,15,22,NA,954.1569079,0,88,2.6,0,24.23,13,85
2014-06-06,2,"La Pastora",0.42,NA,NA,NA,15,27,NA,954.0235526,0,90,2.5,0,23.62,11.1,84
2014-06-06,3,"La Pastora",0.42,NA,NA,NA,15,34,NA,953.8901974,0,92,2.7,0,23.12,9.7,100
2014-06-06,4,"La Pastora",NA,NA,NA,NA,14,30,NA,954.0235526,0,93,2.3,0,22.63,8.5,81
2014-06-06,5,"La Pastora",0.45,NA,NA,NA,13,31,NA,954.4236184,0,94,2.3,0,22.17,9.1,78
2014-06-06,0,"Obispado",0.73,20,3.6,23.6,16,18,2,944.9553947,0,81,NA,0.001,25.18,7,89
2014-06-06,1,"Obispado",0.63,19.3,3.7,23.1,19,29,5,944.6886842,0,84,NA,0.001,24.55,9,17
2014-06-06,2,"Obispado",0.69,21.9,3.3,25.2,19,39,5,944.5553289,0,86,NA,0.001,23.99,7.3,55
2014-06-06,3,"Obispado",0.65,18.9,3.2,22.1,18,44,13,944.5553289,0,89,NA,0.001,23.35,8.6,50
2014-06-06,4,"Obispado",0.69,20,3.9,24,18,58,13,944.5553289,0,90,NA,0.001,22.83,8.7,48
2014-06-06,5,"Obispado",0.76,23,5,28,20,58,14,944.8220395,0,91,NA,0.002,22.38,8,61
2014-06-06,0,"San Bernabe",0.82,NA,NA,NA,13,28,NA,946.2889474,0,79,0.8,0,24.91,14.8,111
2014-06-06,1,"San Bernabe",0.51,NA,NA,NA,15,29,NA,946.1555921,0,82,1,0,24.25,17.6,112
2014-06-06,2,"San Bernabe",0.64,NA,NA,NA,15,42,NA,945.8888816,0,84,0.8,0,23.84,13.7,107
2014-06-06,3,"San Bernabe",0.8,NA,NA,NA,14,49,NA,945.8888816,0,85,0.8,0,23.37,12.8,100
2014-06-06,4,"San Bernabe",0.69,NA,NA,NA,13,50,NA,945.7555263,0,87,0.9,0,22.83,12.8,92
2014-06-06,5,"San Bernabe",0.48,1.8,1.2,2.9,10,53,NA,946.1555921,0,87,0.9,0.001,22.39,12.1,87
2014-06-06,0,"San Nicolas",0.33,NA,NA,NA,13,NA,1,954.5569737,0,81,NA,0,25.07,14.9,106
2014-06-06,1,"San Nicolas",0.33,NA,NA,NA,13,NA,16,954.4236184,0,83,NA,0,24.51,15.3,104
2014-06-06,2,"San Nicolas",0.32,NA,NA,NA,13,NA,27,954.2902632,0,85,NA,0,23.83,12.4,105
2014-06-06,3,"San Nicolas",0.32,NA,NA,NA,13,NA,18,954.1569079,0,87,NA,0,23.32,11.8,107
2014-06-06,4,"San Nicolas",0.33,NA,NA,NA,13,NA,29,954.1569079,0,87,NA,0,22.82,12.3,101
2014-06-06,5,"San Nicolas",0.44,NA,NA,NA,10,NA,24,954.5569737,0,89,NA,0,22.26,11.3,102
2014-06-06,0,"Santa Catarina",0.24,2.3,2.1,4.3,18,43,21,930.5530263,0,75,3,0,24.45,11.7,NA
2014-06-06,1,"Santa Catarina",0.24,2.2,3.3,5.4,15,34,7,930.2863158,0,78,3.1,0,23.7,11.4,NA
2014-06-06,2,"Santa Catarina",0.23,2.1,3.6,5.5,15,29,13,930.1529605,0,81,2.9,0,23.04,10.3,NA
2014-06-06,3,"Santa Catarina",0.27,2.1,3.6,5.5,15,41,15,930.1529605,0,82,2.8,0,22.75,9.7,NA
2014-06-06,4,"Santa Catarina",0.25,2.9,5.4,8.2,13,49,6,930.1529605,0,83,3,0,22.47,10,NA
2014-06-06,5,"Santa Catarina",0.34,8,8.7,16.6,9,63,6,930.4196711,0,84,3.6,0,22.05,10.7,NA
