"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-08-21,6,"La Pastora",0.53,NA,NA,NA,7,57,12,957.7575,0,88,NA,0.013,24.06,5.6,64
2014-08-21,7,"La Pastora",0.64,NA,NA,NA,7,56,0,958.4242763,0,86,NA,0.137,24.64,6.9,74
2014-08-21,8,"La Pastora",0.64,NA,NA,NA,12,80,NA,959.2244079,0,82,NA,0.328,26.02,5.6,71
2014-08-21,9,"La Pastora",0.62,NA,NA,NA,21,93,7,959.8911842,0,78,NA,0.57,27.65,5.3,112
2014-08-21,10,"La Pastora",0.63,NA,NA,NA,39,80,0,959.8911842,0,71,NA,0.84,29.55,5.5,164
2014-08-21,11,"La Pastora",0.53,NA,NA,NA,48,72,17,959.7578289,0,62,NA,0.966,30.83,8.9,75
2014-08-21,6,"Obispado",0.56,13.2,9.9,23.1,3,48,23,948.9560526,0,85,NA,0.017,24.57,4.2,57
2014-08-21,7,"Obispado",0.73,18.8,11,29.8,3,90,2,949.4894737,0,83,NA,0.111,25.01,5.8,61
2014-08-21,8,"Obispado",0.77,17,12,29,5,90,20,950.0228947,0,82,NA,0.207,25.18,5.6,54
2014-08-21,9,"Obispado",0.76,11.6,13.7,25.3,13,97,2,950.2896053,0,75,NA,0.519,27.54,4.7,6
2014-08-21,10,"Obispado",0.84,9.5,18.1,27.6,22,100,22,950.2896053,0,70,NA,0.733,28.8,6.4,3
2014-08-21,11,"Obispado",0.65,3.5,12.7,16.2,53,118,27,950.15625,0,63,NA,0.911,30.43,6.8,55
2014-08-21,6,"San Bernabe",0.91,5.3,7.8,13.1,7,54,23,950.9563816,0,79,2.5,0.013,24.86,7.4,154
2014-08-21,7,"San Bernabe",1.12,6.8,8.7,15.5,6,110,19,951.4898026,0,79,4.3,0.067,25.04,4.4,170
2014-08-21,8,"San Bernabe",0.99,6.4,9.1,15.5,9,131,22,952.1565789,0,76,4.3,0.17,25.71,6,164
2014-08-21,9,"San Bernabe",0.82,5.1,8.7,13.8,18,101,4,952.5566447,0,72,3.8,0.448,27.04,5.8,155
2014-08-21,10,"San Bernabe",0.83,3.9,9,12.9,39,113,21,952.4232895,0,66,3.8,0.639,28.87,5.5,222
2014-08-21,11,"San Bernabe",0.75,2.9,7.5,10.4,60,138,22,952.2899342,0,59,4.7,0.761,30.02,9.6,129
2014-08-21,6,"San Nicolas",0.84,8.5,10.1,18.6,7,75,26,959.3577632,0,82,NA,0.011,24.45,6.4,73
2014-08-21,7,"San Nicolas",0.83,10.5,9.6,20.1,8,99,16,959.8911842,0,81,NA,0.126,24.66,6.9,78
2014-08-21,8,"San Nicolas",0.76,9.2,8.9,18.1,11,112,35,960.5579605,0,79,NA,0.172,25.44,4.8,83
2014-08-21,9,"San Nicolas",0.74,8.1,9.7,17.8,19,103,1,960.8246711,0,73,NA,0.544,27.85,4.5,41
2014-08-21,10,"San Nicolas",0.73,5.1,8.7,13.8,33,99,20,960.6913158,0,68,NA,0.692,29.31,5,356
2014-08-21,11,"San Nicolas",0.75,8.4,8.4,16.8,43,99,38,960.5579605,0,54,NA,0.816,30.99,9.1,107
2014-08-21,6,"Santa Catarina",0.53,17.2,7.5,24.7,4,74,21,935.7538816,0,82,2.5,0.02,23.57,6,105
2014-08-21,7,"Santa Catarina",0.55,NA,NA,NA,8,89,5,936.1539474,0,76,2.6,0.162,25.14,4.3,82
2014-08-21,8,"Santa Catarina",0.7,NA,NA,NA,11,87,19,936.6873684,0,75,2.8,0.356,25.78,7.9,95
2014-08-21,9,"Santa Catarina",0.78,20.3,1,21.3,15,125,23,937.0874342,0,72,2.9,0.501,26.01,9.5,80
2014-08-21,10,"Santa Catarina",0.73,13.1,2,15.1,32,136,26,937.0874342,0,67,3.1,0.681,27.77,5.9,89
2014-08-21,11,"Santa Catarina",0.77,10.2,3.1,13.3,54,134,21,936.9540789,0,62,3.1,0.799,28.79,11.1,102
