"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-06-30,6,"La Pastora",0.67,NA,NA,NA,16,38,NA,NA,NA,NA,2.9,NA,NA,NA,NA
2014-06-30,7,"La Pastora",0.7,NA,NA,NA,15,25,NA,NA,NA,NA,2.9,NA,NA,NA,NA
2014-06-30,8,"La Pastora",0.71,NA,NA,NA,17,18,NA,NA,NA,NA,2.7,NA,NA,NA,NA
2014-06-30,9,"La Pastora",0.7,NA,NA,NA,22,52,NA,NA,NA,NA,3,NA,NA,NA,NA
2014-06-30,10,"La Pastora",0.69,NA,NA,NA,29,45,NA,NA,NA,NA,3.5,NA,NA,NA,NA
2014-06-30,11,"La Pastora",0.63,NA,NA,NA,36,58,NA,NA,NA,NA,4,NA,NA,NA,NA
2014-06-30,6,"Obispado",1.11,52.3,8.2,60.5,17,75,8,947.8892105,0,85,NA,0.043,23.9,4.6,19
2014-06-30,7,"Obispado",1.15,62,9.9,71.9,17,92,NA,948.2892763,0,84,NA,0.138,24.37,5.9,25
2014-06-30,8,"Obispado",1.16,58.9,9.7,68.6,17,86,14,948.6893421,0,81,NA,0.241,25.08,5,15
2014-06-30,9,"Obispado",1.24,59,11.3,70.4,18,112,14,948.5559868,0,78,NA,0.218,25.82,5,23
2014-06-30,10,"Obispado",1.15,55.1,12.6,67.7,17,101,8,948.5559868,0,74,NA,0.508,26.83,6.9,43
2014-06-30,11,"Obispado",1.19,49.9,14.7,64.6,20,104,4,948.1559211,0,68,NA,0.647,28.7,5.8,33
2014-06-30,6,"San Bernabe",0.87,NA,NA,NA,14,71,NA,949.8895395,0,81,0.9,0.021,23.77,9.3,123
2014-06-30,7,"San Bernabe",0.67,NA,NA,NA,12,72,NA,950.2896053,0,80,NA,0.088,24.16,7.6,65
2014-06-30,8,"San Bernabe",0.61,NA,NA,NA,18,46,NA,950.5563158,0,76,NA,0.188,25.29,5.6,112
2014-06-30,9,"San Bernabe",0.66,NA,NA,NA,24,51,NA,950.2896053,0,71,NA,0.31,26.79,6.1,165
2014-06-30,10,"San Bernabe",0.62,NA,NA,NA,35,66,NA,950.2896053,0,68,1.1,0.679,27.19,9.7,90
2014-06-30,11,"San Bernabe",0.67,NA,NA,NA,49,72,NA,950.0228947,0,61,1.1,0.842,28.9,8.6,102
2014-06-30,6,"San Nicolas",1.37,NA,NA,NA,16,99,63,958.1575658,0,83,NA,0.041,23.73,11.6,111
2014-06-30,7,"San Nicolas",1.38,NA,NA,NA,17,111,35,958.6909868,0,83,NA,0.135,24.13,8.9,106
2014-06-30,8,"San Nicolas",1.37,NA,NA,NA,18,108,30,959.0910526,0,81,NA,0.153,24.73,6.5,95
2014-06-30,9,"San Nicolas",1.41,NA,NA,NA,20,105,19,959.0910526,0,79,NA,0.228,25.48,6.1,57
2014-06-30,10,"San Nicolas",1.31,NA,NA,NA,30,102,17,958.8243421,0,70,NA,0.435,28.18,3.8,90
2014-06-30,11,"San Nicolas",1.39,NA,NA,NA,37,96,6,958.2909211,0,63,NA,0.747,29.69,6.4,112
2014-06-30,6,"Santa Catarina",0.76,12.4,10.4,22.7,12,98,23,934.1536184,0,81,2.6,0.061,22.98,8,NA
2014-06-30,7,"Santa Catarina",0.83,17.7,5.2,22.7,14,110,15,934.6870395,0,78,2.7,0.192,23.91,8.7,NA
2014-06-30,8,"Santa Catarina",0.86,NA,NA,NA,20,109,3,934.95375,0,73,2.8,0.468,25.36,8.7,NA
2014-06-30,9,"Santa Catarina",0.9,12.4,0.3,12.7,28,119,15,934.8203947,0,70,2.8,0.586,26.12,10.1,NA
2014-06-30,10,"Santa Catarina",0.89,NA,NA,NA,37,126,21,934.8203947,0,67,3,0.749,26.7,12.7,NA
2014-06-30,11,"Santa Catarina",0.9,NA,NA,NA,43,119,37,934.4203289,0,65,3,0.813,26.92,16,NA
