"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-06-09,6,"La Pastora",0.66,NA,NA,NA,7,21,NA,952.9567105,0,96,2,NA,22.72,6.4,68
2014-06-09,7,"La Pastora",0.71,NA,NA,NA,8,5,NA,953.4901316,0,94,2.3,NA,23.28,6.3,78
2014-06-09,8,"La Pastora",0.63,NA,NA,NA,10,14,NA,954.0235526,0,91,2.3,NA,23.79,5.9,80
2014-06-09,9,"La Pastora",0.62,NA,NA,NA,13,20,NA,954.1569079,0,87,2.2,NA,24.65,5.5,64
2014-06-09,10,"La Pastora",0.68,NA,NA,NA,22,10,NA,NA,NA,NA,2.9,NA,NA,NA,NA
2014-06-09,11,"La Pastora",0.63,NA,NA,NA,29,76,NA,NA,NA,NA,3.4,NA,NA,NA,NA
2014-06-09,6,"Obispado",0.81,26.4,6.5,33,18,41,8,943.4884868,0,94,NA,0.019,22.94,6.5,52
2014-06-09,7,"Obispado",0.92,30.4,7.7,38.1,18,40,5,943.7551974,0,92,NA,0.055,23.3,5.2,53
2014-06-09,8,"Obispado",0.93,36.1,8.9,45,16,51,1,944.2886184,0,90,NA,0.079,23.54,5.6,27
2014-06-09,9,"Obispado",0.96,36.8,9.3,46.1,17,72,14,944.4219737,0,86,NA,0.25,24.7,4.4,16
2014-06-09,10,"Obispado",0.99,34.7,12.3,47,16,79,5,944.1552632,0,79,NA,0.397,26.78,5.1,67
2014-06-09,11,"Obispado",0.99,29,14.8,43.8,20,78,25,943.8885526,0,75,NA,0.749,27.56,7.3,57
2014-06-09,6,"San Bernabe",0.81,3.4,2.3,5.5,6,41,NA,944.5553289,0,88,2,0.013,23.23,8.6,96
2014-06-09,7,"San Bernabe",0.87,3.1,2.4,5.2,7,48,NA,944.8220395,0,87,1.9,0.054,23.25,9.2,113
2014-06-09,8,"San Bernabe",0.66,3.3,2,5.1,10,36,NA,945.3554605,0,84,1.6,0.109,23.91,6.6,93
2014-06-09,9,"San Bernabe",0.97,3.9,2.8,6.5,15,27,NA,945.4888158,0,79,1.7,0.344,25.65,4.6,195
2014-06-09,10,"San Bernabe",0.91,3.1,3.1,6,31,43,NA,945.08875,0,73,2,0.599,27.06,7,125
2014-06-09,11,"San Bernabe",0.76,2.1,2.5,4.6,48,55,NA,944.6886842,0,67,2.1,0.751,28.5,8.3,114
2014-06-09,6,"San Nicolas",0.73,NA,NA,NA,8,66,7,952.9567105,0,92,NA,NA,22.82,8.3,92
2014-06-09,7,"San Nicolas",0.73,NA,NA,NA,10,46,NA,953.2234211,0,91,NA,0.942,22.98,8.6,105
2014-06-09,8,"San Nicolas",0.61,NA,NA,NA,12,54,3,953.7568421,0,88,NA,NA,23.69,5.7,62
2014-06-09,9,"San Nicolas",0.6,NA,NA,NA,14,64,9,953.8901974,0,84,NA,0.292,24.77,4.3,61
2014-06-09,10,"San Nicolas",0.65,NA,NA,NA,21,68,8,953.6234868,0,79,NA,0.348,26.09,6.1,109
2014-06-09,11,"San Nicolas",0.66,NA,NA,NA,34,68,1,953.2234211,0,73,NA,0.515,27.71,6,105
2014-06-09,6,"Santa Catarina",0.83,12.2,5.4,17.4,11,49,26,929.2194737,0,86,2.8,0.018,22.39,7,NA
2014-06-09,7,"Santa Catarina",0.97,16.1,6,21.9,10,62,4,929.4861842,0,86,2.9,0.083,22.65,7.2,NA
2014-06-09,8,"Santa Catarina",0.99,12.6,6,18.4,12,75,11,930.0196053,0,81,2.9,0.157,23.5,6.2,NA
2014-06-09,9,"Santa Catarina",1.08,13.7,6.1,19.6,18,67,13,930.0196053,0,76,2.9,0.47,25.41,7.1,NA
2014-06-09,10,"Santa Catarina",1.05,7.7,8.5,16,34,94,29,929.6195395,0,70,3.1,0.59,26.86,9.1,NA
2014-06-09,11,"Santa Catarina",1.13,6.1,9.4,15.2,50,96,27,929.2194737,0,67,3.3,0.719,27.56,11,NA
