"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-11-13,6,"La Pastora",0.92,NA,NA,NA,23,29,0,973.2267105,0,73,4.4,0,6.53,6.1,126
2014-11-13,7,"La Pastora",0.95,NA,NA,NA,21,26,NA,973.6267763,0,71,4.2,0.005,6.56,5.7,95
2014-11-13,8,"La Pastora",0.99,NA,NA,NA,18,21,0,974.6936184,0,70,4.3,0.027,6.74,6.2,112
2014-11-13,9,"La Pastora",0.97,NA,NA,NA,17,31,1,975.3603947,0,70,4,0.104,6.79,8.1,66
2014-11-13,10,"La Pastora",0.93,NA,NA,NA,22,33,1,975.8938158,0,69,3.4,0.133,6.69,8.6,86
2014-11-13,11,"La Pastora",0.95,NA,NA,NA,23,28,2,976.5605921,0,67,3.5,0.216,6.93,8.1,89
2014-11-13,6,"Obispado",1.45,1.9,7.1,9,19,40,4,959.3577632,0,78,NA,0.002,5.9,5.5,44
2014-11-13,7,"Obispado",1.48,4.3,11.6,15.9,14,42,NA,960.1578947,0,71,NA,0.006,6.19,4.8,12
2014-11-13,8,"Obispado",1.53,8.8,16.3,25.1,10,35,NA,960.9580263,0,64,NA,0.029,6.45,6.3,26
2014-11-13,9,"Obispado",1.39,8.2,14.3,22.5,12,44,NA,961.4914474,0,63,NA,0.089,6.66,8,24
2014-11-13,10,"Obispado",1.37,7.6,12.3,19.9,13,45,NA,961.7581579,0,65,NA,0.094,6.42,7.5,51
2014-11-13,11,"Obispado",1.3,5.3,8.5,13.8,18,39,20,961.3580921,0,64,NA,0.172,6.31,7.5,17
2014-11-13,6,"San Bernabe",0.57,3.2,3.6,6.8,21,30,1,962.1582237,0,79,3.5,0,6.11,6.6,116
2014-11-13,7,"San Bernabe",0.54,3.3,3.5,6.8,25,34,NA,962.9583553,0,68,3.7,0.005,6.28,9,86
2014-11-13,8,"San Bernabe",0.62,3.3,4,7.3,24,39,NA,963.7584868,0,62,3.8,0.032,6.36,11.2,64
2014-11-13,9,"San Bernabe",0.56,3.2,3.7,6.9,24,43,8,964.4252632,0,61,3.7,0.08,6.46,14.8,42
2014-11-13,10,"San Bernabe",0.57,3.4,3.5,6.9,25,47,NA,964.8253289,0,60,3.5,0.162,6.35,14.7,47
2014-11-13,11,"San Bernabe",0.54,3.3,3.3,6.6,26,43,6,964.2919079,0,59,3.6,0.246,6.34,15.1,48
2014-11-13,6,"San Nicolas",1.21,NA,NA,NA,21,37,NA,971.7598026,0,66,4,0,6.6,9.1,357
2014-11-13,7,"San Nicolas",1.38,NA,NA,NA,18,36,NA,972.6932895,0,65,3.7,0.005,6.69,8.7,355
2014-11-13,8,"San Nicolas",1.43,NA,NA,NA,17,43,5,973.4934211,0,64,4.1,0.024,6.76,7.4,13
2014-11-13,9,"San Nicolas",1.25,NA,NA,NA,20,46,16,974.2935526,0,63,3.6,0.092,6.7,10.3,20
2014-11-13,10,"San Nicolas",1.21,NA,NA,NA,25,42,8,974.6936184,0,61,3.8,0.141,6.57,10.8,17
2014-11-13,11,"San Nicolas",1.19,NA,NA,NA,26,40,7,974.1601974,0,60,3.8,0.232,6.93,8.7,3
2014-11-13,6,"Santa Catarina",0.1,8.4,14.2,22.6,11,42,21,946.0222368,0,87,4.1,0.001,3.86,9.1,101
2014-11-13,7,"Santa Catarina",0.3,11.2,18.5,29.7,11,63,5,946.8223684,0,80,4.7,0.004,4.32,9.5,107
2014-11-13,8,"Santa Catarina",0.3,11.6,13,24.6,13,75,NA,947.6225,0,69,4.9,0.028,4.83,11.8,99
2014-11-13,9,"Santa Catarina",0.27,10.1,4.4,14.5,17,66,10,948.1559211,0,64,4.9,0.092,5.2,13.4,97
2014-11-13,10,"Santa Catarina",0.22,11,3.6,14.6,17,65,7,948.4226316,0,64,4.9,0.129,5.37,13.6,91
2014-11-13,11,"Santa Catarina",0.32,12.1,4.5,16.6,16,68,NA,948.0225658,0,64,4.3,0.136,5.13,11.7,87
