"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-11-05,0,"La Pastora",1.18,NA,NA,NA,9,68,26,NA,0,92,4.9,0,20.21,6.5,105
2014-11-05,1,"La Pastora",1.04,NA,NA,NA,14,51,16,NA,0,96,4.8,0,19.72,7.9,86
2014-11-05,2,"La Pastora",0.99,NA,NA,NA,18,39,9,NA,0,97,4.7,0,19.4,9.1,76
2014-11-05,3,"La Pastora",0.97,NA,NA,NA,22,33,12,NA,0,96,4.6,0,19.22,13.4,63
2014-11-05,4,"La Pastora",0.95,NA,NA,NA,23,37,12,NA,0,96,4.5,0,18.96,11.7,70
2014-11-05,5,"La Pastora",0.98,NA,NA,NA,19,30,3,NA,0,97,4.6,0,18.58,10.4,64
2014-11-05,0,"Obispado",1.49,5.2,14.4,19.6,3,67,32,949.0894079,0,92,NA,0.001,19.73,5,28
2014-11-05,1,"Obispado",1.29,1.7,7.9,9.6,9,73,20,948.4226316,0,94,NA,0.001,19.41,6.2,40
2014-11-05,2,"Obispado",1.2,1.5,4.4,5.9,13,62,18,947.8892105,0,95,NA,0.001,19.15,5.2,37
2014-11-05,3,"Obispado",1.17,1.6,2.9,4.5,18,65,15,947.3557895,0,94,NA,0.001,19.09,5,62
2014-11-05,4,"Obispado",1.15,1.5,2.6,4.1,20,60,6,947.0890789,0,94,NA,0.001,18.85,5.6,42
2014-11-05,5,"Obispado",1.16,1.5,3.9,5.4,17,51,3,946.8223684,0,95,NA,0.001,18.64,6.7,39
2014-11-05,0,"San Bernabe",0.84,3,5.2,8.2,12,69,28,950.9563816,0,85,5.8,0,20.21,10.3,105
2014-11-05,1,"San Bernabe",0.69,2.8,3.1,5.9,18,59,31,950.2896053,0,89,4,0,19.87,11.6,94
2014-11-05,2,"San Bernabe",0.66,2.8,2.2,5,24,56,15,949.6228289,0,88,3.3,0,19.76,12.1,101
2014-11-05,3,"San Bernabe",0.82,2.7,2.3,5,26,56,15,949.0894079,0,88,3.1,0,19.58,14.4,101
2014-11-05,4,"San Bernabe",0.72,2.8,2.4,5.2,24,54,12,948.6893421,0,90,3.1,0,19.23,12.5,95
2014-11-05,5,"San Bernabe",0.93,2.7,2.7,5.4,23,51,25,948.4226316,0,91,3.1,0,18.9,12.1,98
2014-11-05,0,"San Nicolas",1.31,NA,NA,NA,10,105,34,959.7578289,0,89,4.5,0,20.08,6.5,85
2014-11-05,1,"San Nicolas",1.13,NA,NA,NA,19,79,23,958.9576974,0,92,4.2,0,19.77,9.1,96
2014-11-05,2,"San Nicolas",1.11,NA,NA,NA,21,54,5,958.4242763,0,92,3.7,0,19.6,10.4,98
2014-11-05,3,"San Nicolas",1.12,NA,NA,NA,21,49,5,957.8908553,0,91,3.6,0,19.57,10.1,97
2014-11-05,4,"San Nicolas",1.13,NA,NA,NA,19,55,17,957.4907895,0,91,3.7,0,19.4,9.4,96
2014-11-05,5,"San Nicolas",1.18,NA,NA,NA,18,56,30,957.3574342,0,91,4.3,0,19.1,7.6,80
2014-11-05,0,"Santa Catarina",0.59,9,19.3,28.3,4,90,23,935.4871711,0,87,2.9,0,18.55,8.1,137
2014-11-05,1,"Santa Catarina",0.32,3.9,15.1,19,8,76,17,934.6870395,0,86,3,0,18.76,7.7,122
2014-11-05,2,"Santa Catarina",0.22,3,10,13,13,64,19,934.0202632,0,87,2.9,0,18.56,8.8,131
2014-11-05,3,"Santa Catarina",0.17,2.7,9.6,12.3,13,53,13,933.4868421,0,88,2.9,0,18.2,7.9,143
2014-11-05,4,"Santa Catarina",0.17,2.8,7.2,10,17,52,14,933.0867763,0,89,2.8,0,18.04,8.8,141
2014-11-05,5,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
