"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-07-04,12,"La Pastora",0.62,NA,NA,NA,29,31,NA,962.0248684,0,56,3.7,0.782,29.96,13.5,104
2014-07-04,13,"La Pastora",0.6,NA,NA,NA,28,34,NA,960.8246711,0,48,3.7,1.082,31.66,15.6,101
2014-07-04,14,"La Pastora",0.6,NA,NA,NA,28,50,NA,960.29125,0,46,3.6,0.761,31.88,14.3,100
2014-07-04,15,"La Pastora",0.6,NA,NA,NA,29,37,NA,960.29125,0,45,3.7,0.543,32.12,13.4,108
2014-07-04,16,"La Pastora",0.63,NA,NA,NA,27,40,NA,960.0245395,0,47,3.8,0.426,31.79,15.4,107
2014-07-04,17,"La Pastora",0.69,NA,NA,NA,21,147,NA,961.2247368,0,68,3.3,0.127,27.62,16.6,85
2014-07-04,12,"Obispado",0.46,NA,NA,NA,NA,56,3,952.5566447,0,56,NA,0.96,29.92,13.4,78
2014-07-04,13,"Obispado",0.43,NA,NA,NA,NA,49,NA,951.8898684,0,48,NA,0.943,31.23,14.4,84
2014-07-04,14,"Obispado",0.45,NA,NA,NA,NA,42,NA,951.6231579,0,46,NA,0.613,31.48,12.2,86
2014-07-04,15,"Obispado",0.46,NA,NA,NA,NA,40,NA,951.3564474,0,45,NA,0.51,31.66,12.7,99
2014-07-04,16,"Obispado",0.47,NA,NA,NA,NA,34,15,951.2230921,0,49,NA,0.243,30.97,14.5,92
2014-07-04,17,"Obispado",0.51,NA,NA,NA,NA,40,NA,952.1565789,0.36,74,NA,0.074,26.11,12.9,106
2014-07-04,12,"San Bernabe",0.53,NA,NA,NA,36,46,NA,954.9570395,0,52,3.7,0.692,29.34,20.8,107
2014-07-04,13,"San Bernabe",0.47,NA,NA,NA,33,38,NA,954.1569079,0,45,2.5,0.817,30.57,23.2,107
2014-07-04,14,"San Bernabe",0.46,NA,NA,NA,33,32,NA,953.7568421,0,42,2.4,0.757,31.23,23.6,117
2014-07-04,15,"San Bernabe",0.48,NA,NA,NA,32,48,NA,953.4901316,0,41,2.1,0.554,31.51,21.9,115
2014-07-04,16,"San Bernabe",0.48,NA,NA,NA,32,47,NA,953.0900658,0,42,3,0.445,31.42,25.7,112
2014-07-04,17,"San Bernabe",0.58,NA,NA,NA,24,164,NA,954.0235526,0,65,1.6,0.133,26.77,31.6,92
2014-07-04,12,"San Nicolas",0.47,NA,NA,NA,34,67,2,963.3584211,0,49,NA,0.854,30.55,16.5,111
2014-07-04,13,"San Nicolas",0.48,NA,NA,NA,33,47,26,962.6916447,0,43,NA,0.688,31.54,15.8,111
2014-07-04,14,"San Nicolas",0.48,NA,NA,NA,32,45,16,962.1582237,0,41,NA,0.739,32.29,15.9,113
2014-07-04,15,"San Nicolas",0.45,NA,NA,NA,34,44,27,961.7581579,0,39,NA,0.594,32.69,15.3,115
2014-07-04,16,"San Nicolas",0.5,NA,NA,NA,28,55,2,961.6248026,0,45,NA,0.348,31.71,19.7,101
2014-07-04,17,"San Nicolas",0.52,NA,NA,NA,22,191,52,962.6916447,0,68,NA,0.322,27.32,20.7,87
2014-07-04,12,"Santa Catarina",0.56,NA,NA,NA,35,93,9,939.0877632,0,50,3.5,0.899,28.36,25.6,76
2014-07-04,13,"Santa Catarina",0.61,NA,NA,NA,36,97,19,938.4209868,0,46,3.1,0.791,29.4,23.7,84
2014-07-04,14,"Santa Catarina",0.59,NA,NA,NA,35,65,25,938.1542763,0,44,2.9,0.699,29.49,24.3,85
2014-07-04,15,"Santa Catarina",0.58,NA,NA,NA,35,71,10,937.8875658,0,43,2.8,0.489,29.75,23.1,101
2014-07-04,16,"Santa Catarina",0.6,6.4,2.6,9,35,69,3,937.7542105,0,43,2.6,0.405,29.8,24,103
2014-07-04,17,"Santa Catarina",0.66,6.7,4.4,11.1,30,139,8,938.2876316,0,59,2.5,0.271,26.85,25.8,91
