"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-11-10,6,"La Pastora",1.18,NA,NA,NA,3,33,2,NA,0,94,3.4,0,13.11,5.8,265
2014-11-10,7,"La Pastora",1.7,NA,NA,NA,3,40,5,NA,0,91,4.2,0.031,13.72,6.3,264
2014-11-10,8,"La Pastora",2.1,NA,NA,NA,4,50,15,NA,0,86,4.6,0.163,15.59,5.4,246
2014-11-10,9,"La Pastora",1.72,NA,NA,NA,8,69,11,NA,0,74,4,0.404,19.15,3.6,257
2014-11-10,10,"La Pastora",1.42,NA,NA,NA,16,64,8,NA,0,62,4.8,0.651,22.57,3.9,173
2014-11-10,11,"La Pastora",1.63,NA,NA,NA,36,71,34,NA,0,62,4.5,0.747,23.68,4.9,76
2014-11-10,6,"Obispado",1.67,21.2,13,34.2,2,43,12,946.0222368,0,91,NA,0.002,12.52,1.6,318
2014-11-10,7,"Obispado",2.3,57.5,15.2,72.7,2,58,21,946.2889474,0,86,NA,0.035,13.05,1.1,295
2014-11-10,8,"Obispado",2.49,62.1,22.4,84.5,3,85,7,946.5556579,0,76,NA,0.157,16.29,2.4,226
2014-11-10,9,"Obispado",2.36,53.8,25.6,79.4,5,86,NA,946.8223684,0,65,NA,0.386,20.01,2.8,333
2014-11-10,10,"Obispado",2.08,31.5,30.6,62.1,12,100,1,946.6890132,0,53,NA,0.637,23.63,2.8,14
2014-11-10,11,"Obispado",2.32,26.3,44.5,70.8,19,87,20,946.0222368,0,50,NA,0.654,24.57,3.7,8
2014-11-10,6,"San Bernabe",1.12,12.8,6.4,19.2,2,NA,25,947.6225,0,87,4.1,0,13.04,7,321
2014-11-10,7,"San Bernabe",1.14,9.2,7.6,16.8,4,NA,21,947.8892105,0,80,4.4,0.028,14.57,9.5,324
2014-11-10,8,"San Bernabe",1.14,9.1,7.5,16.6,7,NA,23,948.1559211,0,75,4.5,0.137,15.63,9.2,322
2014-11-10,9,"San Bernabe",1.06,8.5,7.3,15.8,10,NA,29,948.4226316,0,72,4.6,0.268,16.96,7.8,319
2014-11-10,10,"San Bernabe",1.09,10.1,8.4,18.5,15,NA,20,948.2892763,0,64,5.8,0.487,19.94,6.1,302
2014-11-10,11,"San Bernabe",1.09,6.6,9.1,15.7,24,NA,38,947.6225,0,53,5.7,0.445,23.18,2.9,206
2014-11-10,6,"San Nicolas",1.91,NA,NA,NA,6,73,12,956.4239474,0,90,3,0,13.04,3.2,290
2014-11-10,7,"San Nicolas",2.59,NA,NA,NA,6,84,24,956.9573684,0,90,3.7,0.025,13.22,1.4,279
2014-11-10,8,"San Nicolas",3.61,NA,NA,NA,8,106,36,957.0907237,0,87,4.3,0.137,15.44,2.1,134
2014-11-10,9,"San Nicolas",3.15,NA,NA,NA,11,199,45,957.2240789,0,80,4.1,0.264,17.73,3.2,64
2014-11-10,10,"San Nicolas",3.62,NA,NA,NA,17,258,46,957.0907237,0,70,4.7,0.501,21.52,2.4,112
2014-11-10,11,"San Nicolas",3.03,NA,NA,NA,24,254,59,956.4239474,0,59,5.3,0.495,24.01,1.8,154
2014-11-10,6,"Santa Catarina",0.88,59.9,19.8,79.7,4,87,34,932.2866447,0,84,3.1,0.001,11.92,3.6,273
2014-11-10,7,"Santa Catarina",2.36,138.7,26.3,165,6,147,42,932.6867105,0,83,3.8,0.033,12.43,3.7,282
2014-11-10,8,"Santa Catarina",2.6,122.2,28.3,150.5,6,219,33,932.9534211,0,76,3.7,0.154,15.03,3.4,294
2014-11-10,9,"Santa Catarina",1.42,56.5,11.6,68.1,11,232,35,932.9534211,0,64,3.7,0.36,18.51,3.1,280
2014-11-10,10,"Santa Catarina",0.59,14.4,8.3,22.7,27,180,1,932.8200658,0,50,4.2,0.343,23.18,2.9,287
2014-11-10,11,"Santa Catarina",0.38,8.8,6.2,15,33,198,7,932.1532895,0,42,4.1,0.517,24.74,3.2,46
