"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-08-02,18,"La Pastora",0.82,NA,NA,NA,20,40,23,957.6241447,0,78,NA,0.084,27.15,7,110
2014-08-02,19,"La Pastora",0.88,NA,NA,NA,15,53,36,958.0242105,0,83,NA,0.006,25.9,4.4,184
2014-08-02,20,"La Pastora",0.84,NA,NA,NA,14,46,26,958.9576974,0,86,NA,0,25.09,7.3,54
2014-08-02,21,"La Pastora",0.75,NA,NA,NA,17,40,19,959.7578289,0,87,NA,0,24.89,6.1,64
2014-08-02,22,"La Pastora",0.72,NA,NA,NA,19,42,9,960.0245395,0,86,NA,0,24.94,2.5,226
2014-08-02,23,"La Pastora",0.77,NA,NA,NA,14,30,23,959.6244737,0,85,NA,0,25.06,3.7,263
2014-08-02,18,"Obispado",0.56,3,6.9,9.9,29,51,15,948.4226316,0,73,NA,0.085,26.67,11,111
2014-08-02,19,"Obispado",0.59,2.6,7.1,9.7,27,39,32,949.0894079,0,78,NA,0.009,25.87,9.9,102
2014-08-02,20,"Obispado",0.79,3.8,15.7,19.5,12,47,10,950.0228947,0,77,NA,0.002,26.1,7.1,69
2014-08-02,21,"Obispado",0.69,3.3,8.6,11.9,20,64,42,950.9563816,0,84,NA,0.001,24.87,7.5,7
2014-08-02,22,"Obispado",0.76,2.9,14,16.9,15,48,7,951.0897368,0,84,NA,0.002,24.7,2.6,97
2014-08-02,23,"Obispado",0.72,2.8,14,16.8,11,41,19,950.6896711,0,85,NA,0.001,24.54,2.5,156
2014-08-02,18,"San Bernabe",0.66,2.3,9.7,12,30,42,NA,950.2896053,0,64,1.6,0.091,27.79,14.4,116
2014-08-02,19,"San Bernabe",0.87,3.6,13.9,17.5,9,82,NA,951.0897368,0,71,2.2,0.007,26.88,12.8,142
2014-08-02,20,"San Bernabe",0.82,3,10.9,13.9,14,75,NA,952.1565789,0.13,75,2.1,0,25.99,15.1,69
2014-08-02,21,"San Bernabe",0.61,1.9,7,8.9,27,111,NA,953.0900658,0.27,88,1.4,0,23.34,9.5,229
2014-08-02,22,"San Bernabe",0.8,2,8.9,10.9,19,37,NA,953.3567763,0,86,1.1,0,23.69,2.5,119
2014-08-02,23,"San Bernabe",0.84,1.7,8,9.7,20,15,NA,952.9567105,0,82,1,0,24.09,3.5,92
2014-08-02,18,"San Nicolas",0.88,6.9,14.8,21.7,21,75,37,958.6909868,0,72,NA,0.278,27.64,9.2,113
2014-08-02,19,"San Nicolas",1.01,7.4,16.4,23.8,17,72,48,959.4911184,0,73,NA,0.815,27.02,6.7,102
2014-08-02,20,"San Nicolas",0.72,4.8,14.1,18.9,16,84,35,960.5579605,0,80,NA,NA,25.56,7.9,49
2014-08-02,21,"San Nicolas",0.67,4.1,10.5,14.6,23,62,4,961.2247368,0,82,NA,NA,24.93,8.2,342
2014-08-02,22,"San Nicolas",0.66,3.7,9.5,13.2,24,34,23,961.4914474,0,81,NA,NA,24.58,4.1,330
2014-08-02,23,"San Nicolas",0.6,3.6,9.9,13.5,22,31,11,961.2247368,0,79,NA,NA,24.9,3.4,328
2014-08-02,18,"Santa Catarina",0.65,6.6,11.6,18.2,30,80,12,934.95375,0,62,3,0.07,27.74,7.3,102
2014-08-02,19,"Santa Catarina",0.65,6.9,14.7,21.6,24,70,12,935.6205263,0,61,3.2,0.005,26.85,11.5,99
2014-08-02,20,"Santa Catarina",0.63,6.7,15.3,22,21,67,17,936.5540132,0,66,3.1,0,25.98,13.1,105
2014-08-02,21,"Santa Catarina",0.7,7.7,16,23.7,14,72,15,937.3541447,0.03,81,2.9,0,23.83,17.1,109
2014-08-02,22,"Santa Catarina",0.54,5.8,9.6,15.4,20,79,18,937.7542105,0.01,88,2.5,0.001,22.61,11.3,124
2014-08-02,23,"Santa Catarina",0.48,5.3,8.9,14.2,21,48,4,937.4875,0.01,83,2.5,0,23.09,7.9,112
