"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-10-22,6,"La Pastora",1,NA,NA,NA,24,20,NA,NA,0.01,97,2.8,0,20.07,9,82
2014-10-22,7,"La Pastora",0.99,NA,NA,NA,26,27,NA,NA,0.01,97,3.1,0.042,20.26,8.6,84
2014-10-22,8,"La Pastora",0.98,NA,NA,NA,28,29,NA,NA,0,94,3,0.148,21.15,8.5,97
2014-10-22,9,"La Pastora",0.93,NA,NA,NA,32,40,NA,NA,0,91,3,0.241,21.93,9.2,76
2014-10-22,10,"La Pastora",1,NA,NA,NA,28,35,NA,NA,0,89,3.1,0.279,22.97,4.9,170
2014-10-22,11,"La Pastora",0.96,NA,NA,NA,33,32,NA,NA,0,84,2.9,0.503,24.42,6.8,97
2014-10-22,6,"Obispado",1.64,16.8,17.2,34,2,39,9,949.4894737,0,97,NA,0.002,19.65,1.4,22
2014-10-22,7,"Obispado",1.59,16.5,17.8,34.3,4,43,7,950.0228947,0,95,NA,0.038,20.25,4.6,65
2014-10-22,8,"Obispado",1.33,7.5,13.2,20.7,11,52,NA,950.5563158,0,90,NA,0.112,21.08,5.5,85
2014-10-22,9,"Obispado",1.29,6.8,11.4,18.2,16,47,NA,950.9563816,0,86,NA,0.199,21.97,5.8,74
2014-10-22,10,"Obispado",1.25,5.1,10.1,15.2,21,48,NA,951.2230921,0,81,NA,0.376,23.43,4.3,68
2014-10-22,11,"Obispado",1.16,4.2,7.4,11.6,28,40,NA,950.6896711,0,75,NA,0.765,24.52,9.4,87
2014-10-22,6,"San Bernabe",0.96,3,4,7,23,22,8,951.4898026,0,93,3,0,20.19,12.5,116
2014-10-22,7,"San Bernabe",1.03,3.4,5.3,8.7,19,37,8,951.8898684,0,93,3.1,0.028,20.42,11.6,119
2014-10-22,8,"San Bernabe",0.92,3.1,3.6,6.7,27,48,NA,952.5566447,0,90,3.1,0.091,20.91,13.6,111
2014-10-22,9,"San Bernabe",0.89,3.2,2.7,5.9,34,42,NA,953.0900658,0,85,3,0.238,21.8,13.5,110
2014-10-22,10,"San Bernabe",0.85,3.5,3,6.5,33,44,10,953.3567763,0,83,3.5,0.33,22.25,11.3,114
2014-10-22,11,"San Bernabe",1.01,3.5,3.4,6.9,34,53,1,952.8233553,0,79,3.8,0.354,23.34,10.8,98
2014-10-22,6,"San Nicolas",1.43,13.5,16.5,30,10,43,11,960.29125,0,95,2.4,0.001,20.12,6.7,114
2014-10-22,7,"San Nicolas",1.2,7.6,14,21.6,15,64,11,960.8246711,0,95,2.3,0.032,20.33,8.6,107
2014-10-22,8,"San Nicolas",1.05,6.9,9.7,16.6,25,63,NA,961.3580921,0,94,2.2,0.153,21.2,9,112
2014-10-22,9,"San Nicolas",1.02,6,9.3,15.3,28,60,16,961.8915132,0,91,2.2,0.148,21.74,8.7,107
2014-10-22,10,"San Nicolas",0.97,5.7,7.8,13.5,32,64,17,962.0248684,0,87,2.3,0.203,22.52,7.9,111
2014-10-22,11,"San Nicolas",1.1,7.2,9.7,16.9,27,57,27,961.6248026,0.01,89,2.3,0.15,22.05,8.2,86
2014-10-22,6,"Santa Catarina",0.71,14.9,5.2,20.1,9,39,NA,936.0205921,0,88,2.6,0.001,19.13,6.7,145
2014-10-22,7,"Santa Catarina",0.59,16.8,1.7,18.5,7,40,NA,936.4206579,0,88,2.7,0.043,19.29,7.1,132
2014-10-22,8,"Santa Catarina",0.51,17.5,0.9,18.4,12,44,NA,936.9540789,0,84,2.6,0.253,20.51,7.3,149
2014-10-22,9,"Santa Catarina",0.4,13,0.6,13.6,22,45,6,937.6208553,0,79,2.6,0.357,21.57,11.2,89
2014-10-22,10,"Santa Catarina",0.34,11.5,0.3,11.8,28,55,7,937.6208553,0,73,2.8,0.244,22.69,12.6,86
2014-10-22,11,"Santa Catarina",0.32,9.9,0.1,10,32,62,9,936.9540789,0,67,3,0.545,23.69,14.6,86
