"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-12-05,12,"La Pastora",1.78,NA,NA,NA,36,128,36,NA,0,72,5.4,0.663,22.99,4.9,132
2014-12-05,13,"La Pastora",1.84,NA,NA,NA,44,87,43,NA,0,73,5.4,0.621,23.09,7.2,84
2014-12-05,14,"La Pastora",1.81,NA,NA,NA,46,113,53,NA,0,75,5,0.463,22.76,8.8,61
2014-12-05,15,"La Pastora",1.82,NA,NA,NA,43,116,40,NA,0,76,4.6,0.359,23.11,6.9,84
2014-12-05,16,"La Pastora",1.77,NA,NA,NA,39,125,52,NA,0,79,4.4,0.159,22.08,7.1,79
2014-12-05,17,"La Pastora",1.82,NA,NA,NA,35,108,44,NA,0,83,4.3,0.032,21.03,5.4,79
2014-12-05,12,"Obispado",2.57,12,32.5,44.5,28,116,36,950.9563816,0.01,67,NA,0.565,22.9,4.4,35
2014-12-05,13,"Obispado",2.36,9.7,34.8,44.5,32,138,45,950.15625,0,64,NA,0.521,23.57,5.2,75
2014-12-05,14,"Obispado",2.19,8.2,31.3,39.5,35,141,56,949.8895395,0,68,NA,0.441,22.92,7.3,62
2014-12-05,15,"Obispado",2.1,5.7,28.2,33.9,35,126,44,950.0228947,0,70,NA,0.264,22.82,6.8,62
2014-12-05,16,"Obispado",2.22,4.9,30.4,35.3,29,121,50,950.6896711,0,74,NA,0.086,21.92,6.9,66
2014-12-05,17,"Obispado",2.39,3.3,33.7,37,19,119,54,951.3564474,0,79,NA,0.021,20.88,5.3,92
2014-12-05,12,"San Bernabe",0.89,3.3,4.8,8.1,41,112,28,952.8233553,0,62,4.8,0.355,24.07,4.3,199
2014-12-05,13,"San Bernabe",1.07,2.9,5.6,8.5,46,134,49,952.0232237,0,64,4.8,0.356,22.76,6.9,132
2014-12-05,14,"San Bernabe",1.18,3,6.2,9.2,56,137,40,951.7565132,0,62,5.4,0.469,23.47,5.8,150
2014-12-05,15,"San Bernabe",1.17,2.8,6.6,9.4,57,135,53,951.8898684,0,63,5.6,0.318,23.33,6.7,130
2014-12-05,16,"San Bernabe",1.02,2.7,6,8.7,44,131,48,952.5566447,0,67,5.4,0.178,22.49,10.5,73
2014-12-05,17,"San Bernabe",0.92,3,6.5,9.5,33,117,43,953.3567763,0,71,5.5,0.025,21.46,7.5,88
2014-12-05,12,"San Nicolas",2.08,7.9,17.1,25,34,84,15,962.0248684,0,71,5,0.512,22.91,3.9,58
2014-12-05,13,"San Nicolas",2.17,9.4,21.5,30.9,40,88,29,961.2247368,0,71,4.8,0.411,22.48,5.5,47
2014-12-05,14,"San Nicolas",2.25,7.1,22,29.1,46,105,11,961.0913816,0,69,4.6,0.387,23.05,5.2,42
2014-12-05,15,"San Nicolas",2.21,7.5,24.8,32.3,40,102,37,961.2247368,0,70,4.5,0.218,22.75,6,48
2014-12-05,16,"San Nicolas",2.31,8.2,27.9,36.1,35,107,54,961.7581579,0,71,4.6,0.094,22.66,5.5,56
2014-12-05,17,"San Nicolas",2.44,8.4,35.5,43.9,30,107,46,962.4249342,0,75,4.8,0.019,21.29,4.2,71
2014-12-05,12,"Santa Catarina",NA,NA,NA,NA,NA,105,26,937.4875,0,57,NA,0.523,22.96,4.7,93
2014-12-05,13,"Santa Catarina",NA,NA,NA,NA,NA,156,68,936.6873684,0,58,NA,0.415,22.71,6.2,65
2014-12-05,14,"Santa Catarina",NA,NA,NA,NA,NA,178,97,936.4206579,0,60,NA,0.417,22.54,9.9,92
2014-12-05,15,"Santa Catarina",NA,NA,NA,NA,NA,193,99,936.5540132,0,65,NA,0.245,21.89,10.9,101
2014-12-05,16,"Santa Catarina",NA,NA,NA,NA,NA,182,97,937.2207895,0,68,NA,0.127,21.09,11.7,109
2014-12-05,17,"Santa Catarina",NA,NA,NA,NA,NA,168,102,938.0209211,0,75,NA,0.018,19.76,10.8,134
