"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-10-30,0,"La Pastora",1.2,NA,NA,NA,3,48,12,NA,0,86,3.6,0,20.2,2.6,179
2014-10-30,1,"La Pastora",1.03,NA,NA,NA,16,44,12,NA,0,89,3.5,0,20.28,4.7,79
2014-10-30,2,"La Pastora",0.94,NA,NA,NA,14,64,20,NA,0,94,3.4,0,19.24,2.4,130
2014-10-30,3,"La Pastora",0.92,NA,NA,NA,7,41,13,NA,0,97,3.2,0,18.25,1.1,170
2014-10-30,4,"La Pastora",0.97,NA,NA,NA,5,46,11,NA,0,97,3.2,0,18.16,1.9,290
2014-10-30,5,"La Pastora",0.99,NA,NA,NA,3,47,9,NA,0,97,3.3,0,18.07,1.6,280
2014-10-30,0,"Obispado",1.45,8.7,17.4,26.1,4,38,19,951.4898026,0,83,NA,0.001,20.26,0.9,108
2014-10-30,1,"Obispado",1.36,4.7,15.3,20,7,47,5,951.4898026,0,83,NA,0.002,20.63,2.8,60
2014-10-30,2,"Obispado",1.17,1.8,11.5,13.3,10,52,28,951.3564474,0,89,NA,0.002,20.07,3.4,54
2014-10-30,3,"Obispado",1.2,1.9,13,14.9,5,64,27,951.2230921,0,92,NA,0.002,19.49,2.4,5
2014-10-30,4,"Obispado",1.29,5.2,14.3,19.5,3,86,24,951.2230921,0,93,NA,0.002,18.59,1.1,295
2014-10-30,5,"Obispado",1.25,3.7,13.3,17,2,91,36,951.2230921,0,95,NA,0.002,18.07,1.1,205
2014-10-30,0,"San Bernabe",1.74,2.9,6.5,9.4,10,71,14,953.4901316,0,69,5.6,0,22.2,4.9,100
2014-10-30,1,"San Bernabe",0.77,2.7,4.2,6.9,18,61,33,953.3567763,0,78,3.5,0,21.58,8,150
2014-10-30,2,"San Bernabe",1.06,2.8,3.8,6.6,16,55,29,953.0900658,0,83,4.2,0,20.53,5.7,190
2014-10-30,3,"San Bernabe",1.17,2.8,4.5,7.3,11,79,26,953.0900658,0,86,4.6,0,20.13,5.6,299
2014-10-30,4,"San Bernabe",0.8,3,4.6,7.6,7,78,47,953.0900658,0,89,3.8,0,19.32,3.7,259
2014-10-30,5,"San Bernabe",0.81,4.9,5.4,10.3,3,73,35,953.2234211,0,90,3.4,0,18.82,3.4,273
2014-10-30,0,"San Nicolas",1.19,6.1,14.6,20.7,12,73,49,962.2915789,0,74,2.7,0,22.25,6.2,81
2014-10-30,1,"San Nicolas",1.09,3.4,8.5,11.9,16,125,55,962.2915789,0,84,2.6,0,20.82,5.4,72
2014-10-30,2,"San Nicolas",1.1,3.1,8.6,11.7,12,85,26,962.0248684,0,88,2.7,0,19.74,4,45
2014-10-30,3,"San Nicolas",0.99,3,7,10,15,72,12,962.0248684,0,91,2.7,0,19.48,3.3,38
2014-10-30,4,"San Nicolas",1.02,3.2,8.9,12.1,12,77,24,961.8915132,0,92,2.5,0,18.88,1.8,17
2014-10-30,5,"San Nicolas",1.06,3.4,11.6,15,7,75,20,961.8915132,0,93,2.5,0,18.57,1.7,311
2014-10-30,0,"Santa Catarina",NA,2.9,5.6,8.5,24,48,23,938.0209211,0,72,3.8,0,20.5,7.4,125
2014-10-30,1,"Santa Catarina",NA,2.5,5.8,8.3,22,42,17,937.8875658,0,72,3.6,0,20.03,8.5,136
2014-10-30,2,"Santa Catarina",NA,2.4,8.2,10.6,17,44,17,937.8875658,0,76,3.3,0,19.11,6,122
2014-10-30,3,"Santa Catarina",NA,2.5,11,13.5,9,53,3,937.8875658,0,80,3.2,0.001,17.9,3,304
2014-10-30,4,"Santa Catarina",NA,4.8,12.4,17.2,6,76,NA,937.7542105,0,81,3.2,0,17.71,2.7,225
2014-10-30,5,"Santa Catarina",NA,11,12,23,6,76,1,937.8875658,0,83,3.2,0.001,17.16,3.5,316
