"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-07-03,12,"La Pastora",0.6,NA,NA,NA,29,35,NA,960.0245395,0,54,3.8,0.984,30.29,14.5,110
2014-07-03,13,"La Pastora",0.58,NA,NA,NA,30,38,NA,959.2244079,0,48,3.9,0.86,31.39,15.8,112
2014-07-03,14,"La Pastora",0.57,NA,NA,NA,29,38,NA,958.5576316,0,44,3.8,0.69,31.99,15.3,110
2014-07-03,15,"La Pastora",0.58,NA,NA,NA,28,35,NA,958.9576974,0,45,3.8,0.458,31.7,16.4,111
2014-07-03,16,"La Pastora",0.59,NA,NA,NA,28,94,NA,959.4911184,0,57,3.5,0.543,29.24,15.2,91
2014-07-03,17,"La Pastora",0.6,NA,NA,NA,29,35,NA,958.9576974,0,52,3.9,0.368,29.9,13,122
2014-07-03,12,"Obispado",0.42,NA,NA,NA,NA,33,2,950.9563816,0,53,NA,1.027,30.16,12.4,113
2014-07-03,13,"Obispado",0.38,NA,NA,NA,NA,43,5,950.4229605,0,47,NA,0.884,31.3,13.4,106
2014-07-03,14,"Obispado",0.4,NA,NA,NA,NA,37,2,950.0228947,0,44,NA,0.69,31.86,13.5,115
2014-07-03,15,"Obispado",0.4,NA,NA,NA,NA,28,13,949.7561842,0,44,NA,0.349,31.54,15.2,115
2014-07-03,16,"Obispado",0.38,NA,NA,NA,NA,42,13,950.2896053,0,54,NA,0.642,29.87,16.5,90
2014-07-03,17,"Obispado",0.43,NA,NA,NA,NA,63,4,950.0228947,0,53,NA,0.326,29.92,12.7,122
2014-07-03,12,"San Bernabe",0.47,NA,NA,NA,32,41,NA,952.9567105,0,50,1.2,0.879,29.51,25.9,109
2014-07-03,13,"San Bernabe",0.49,NA,NA,NA,32,49,NA,952.2899342,0,43,1.1,0.847,30.95,25.8,109
2014-07-03,14,"San Bernabe",0.47,NA,NA,NA,32,64,NA,951.8898684,0,41,1,0.686,31.39,25.1,109
2014-07-03,15,"San Bernabe",0.47,NA,NA,NA,31,47,NA,951.6231579,0,39,1,0.548,31.56,26.5,112
2014-07-03,16,"San Bernabe",0.53,NA,NA,NA,30,269,NA,952.1565789,0,51,3.5,0.475,28.8,31.2,111
2014-07-03,17,"San Bernabe",0.53,NA,NA,NA,29,44,NA,951.8898684,0,47,3.1,0.412,29.57,21.2,120
2014-07-03,12,"San Nicolas",0.47,NA,NA,NA,29,58,17,961.4914474,0,51,NA,0.643,30.23,15.8,116
2014-07-03,13,"San Nicolas",0.48,NA,NA,NA,29,55,3,961.0913816,0,44,NA,0.725,31.4,17.6,113
2014-07-03,14,"San Nicolas",0.47,NA,NA,NA,30,52,NA,960.4246053,0,40,NA,0.695,32.35,17.3,112
2014-07-03,15,"San Nicolas",0.45,NA,NA,NA,29,52,11,960.29125,0,42,NA,0.514,31.82,19.7,117
2014-07-03,16,"San Nicolas",0.56,NA,NA,NA,26,139,40,960.9580263,0,59,NA,0.564,28.45,17.4,128
2014-07-03,17,"San Nicolas",0.57,NA,NA,NA,25,58,24,960.4246053,0,48,NA,0.272,30.01,13,132
2014-07-03,12,"Santa Catarina",0.57,NA,NA,NA,39,65,12,937.2207895,0,52,3.9,0.761,27.76,26.7,76
2014-07-03,13,"Santa Catarina",0.57,NA,NA,NA,39,106,6,936.8207237,0,48,3.5,0.618,28.93,24.8,80
2014-07-03,14,"Santa Catarina",0.56,NA,NA,NA,38,72,3,936.4206579,0,44,3.1,0.525,29.5,24.7,95
2014-07-03,15,"Santa Catarina",0.56,NA,NA,NA,37,74,NA,936.2873026,0,41,3.1,0.475,29.95,22.9,97
2014-07-03,16,"Santa Catarina",0.57,5.8,1.9,7.7,34,67,4,936.4206579,0,50,2.8,0.422,28.27,26.5,86
2014-07-03,17,"Santa Catarina",0.59,5.6,4.2,9.8,33,144,10,936.4206579,0,54,2.8,0.174,27.35,22.3,78
